Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1531341273,2018-07-11T20:34:33Z,KNE434,"18.243996,42.645004",0,11,39
1531341290,2018-07-11T20:34:50Z,KNE434,"18.244183,42.645309",0,21,39
1531341350,2018-07-11T20:35:50Z,KNE434,"18.246872,42.644829",0,15,309
1531341380,2018-07-11T20:36:20Z,KNE434,"18.247976,42.643818",0,27,351
1531341386,2018-07-11T20:36:26Z,KNE434,"18.248302,42.643776",0,26,354
1531341399,2018-07-11T20:36:39Z,KNE434,"18.248932,42.643745",0,22,357
1531341407,2018-07-11T20:36:47Z,KNE434,"18.249165,42.643871",0,23,30
1531341424,2018-07-11T20:37:04Z,KNE434,"18.24979,42.644302",0,19,70
1531341435,2018-07-11T20:37:15Z,KNE434,"18.249596,42.644695",0,21,135
1531341447,2018-07-11T20:37:27Z,KNE434,"18.249035,42.645454",0,41,129
1531341460,2018-07-11T20:37:40Z,KNE434,"18.246357,42.648949",0,100,129
1531341474,2018-07-11T20:37:54Z,KNE434,"18.240784,42.656036",0,155,129
1531341490,2018-07-11T20:38:10Z,KNE434,"18.233068,42.666153",7000,175,128
1531341502,2018-07-11T20:38:22Z,KNE434,"18.226597,42.674244",7325,185,134
1531341510,2018-07-11T20:38:30Z,KNE434,"18.222427,42.677914",7500,188,151
1531341517,2018-07-11T20:38:37Z,KNE434,"18.21492,42.680462",7825,187,174
1531341527,2018-07-11T20:38:47Z,KNE434,"18.206635,42.679974",8175,187,196
1531341534,2018-07-11T20:38:54Z,KNE434,"18.201832,42.67794",8325,190,208
1531341542,2018-07-11T20:39:02Z,KNE434,"18.195408,42.672745",8425,195,227
1531341549,2018-07-11T20:39:09Z,KNE434,"18.192032,42.667858",8450,198,246
1531341555,2018-07-11T20:39:15Z,KNE434,"18.190474,42.66246",8500,200,261
1531341561,2018-07-11T20:39:21Z,KNE434,"18.190338,42.656971",8550,200,279
1531341567,2018-07-11T20:39:27Z,KNE434,"18.192242,42.650822",8625,199,300
1531341575,2018-07-11T20:39:35Z,KNE434,"18.197617,42.643627",8850,200,310
1531341582,2018-07-11T20:39:42Z,KNE434,"18.201096,42.639164",9000,201,310
1531341590,2018-07-11T20:39:50Z,KNE434,"18.204895,42.634262",9175,202,308
1531341606,2018-07-11T20:40:06Z,KNE434,"18.215332,42.619892",9625,206,307
1531341622,2018-07-11T20:40:22Z,KNE434,"18.225037,42.607334",10050,209,308
1531341635,2018-07-11T20:40:35Z,KNE434,"18.23204,42.597672",10375,210,307
1531341651,2018-07-11T20:40:51Z,KNE434,"18.241745,42.584724",10625,222,308
1531341661,2018-07-11T20:41:01Z,KNE434,"18.249435,42.574425",11025,223,308
1531341676,2018-07-11T20:41:16Z,KNE434,"18.257229,42.56403",11450,222,308
1531341686,2018-07-11T20:41:26Z,KNE434,"18.265045,42.553726",11850,222,308
1531341698,2018-07-11T20:41:38Z,KNE434,"18.272781,42.543331",12225,224,308
1531341729,2018-07-11T20:42:09Z,KNE434,"18.29361,42.516304",12850,242,308
1531341761,2018-07-11T20:42:41Z,KNE434,"18.317049,42.485477",13250,276,308
1531341794,2018-07-11T20:43:14Z,KNE434,"18.345566,42.447933",13775,307,308
1531341826,2018-07-11T20:43:46Z,KNE434,"18.374359,42.409824",14325,333,308
1531341857,2018-07-11T20:44:17Z,KNE434,"18.404984,42.369019",15300,344,308
1531341890,2018-07-11T20:44:50Z,KNE434,"18.438538,42.324142",16450,351,308
1531341923,2018-07-11T20:45:23Z,KNE434,"18.469694,42.282833",17500,358,308
1531341955,2018-07-11T20:45:55Z,KNE434,"18.504793,42.23629",18625,362,308
1531342017,2018-07-11T20:46:57Z,KNE434,"18.569733,42.149685",20475,370,308
1531342079,2018-07-11T20:47:59Z,KNE434,"18.63607,42.061356",22575,363,308
1531342141,2018-07-11T20:49:01Z,KNE434,"18.702641,41.972767",23675,386,308
1531342204,2018-07-11T20:50:04Z,KNE434,"18.773773,41.877735",24750,403,308
1531342266,2018-07-11T20:51:06Z,KNE434,"18.846022,41.780907",26025,410,308
1531342328,2018-07-11T20:52:08Z,KNE434,"18.920517,41.68095",27100,422,308
1531342390,2018-07-11T20:53:10Z,KNE434,"18.996805,41.578457",28000,436,308
1531342453,2018-07-11T20:54:13Z,KNE434,"19.077667,41.469807",28000,470,308
1531342523,2018-07-11T20:55:23Z,KNE434,"19.171326,41.343563",28000,486,308
1531342602,2018-07-11T20:56:42Z,KNE434,"19.283707,41.191471",28000,486,307
1531342665,2018-07-11T20:57:45Z,KNE434,"19.369583,41.07494",28000,487,307
1531342725,2018-07-11T20:58:45Z,KNE434,"19.451706,40.956295",28000,486,305
1531342734,2018-07-11T20:58:54Z,KNE434,"19.462978,40.939602",28000,487,305
1531342828,2018-07-11T21:00:28Z,KNE434,"19.587505,40.75753",28000,487,305
1531342891,2018-07-11T21:01:31Z,KNE434,"19.671999,40.634232",28000,488,305
1531342958,2018-07-11T21:02:38Z,KNE434,"19.760447,40.504642",28000,487,305
1531342983,2018-07-11T21:03:03Z,KNE434,"19.792419,40.457691",28000,487,305
1531343074,2018-07-11T21:04:34Z,KNE434,"19.912348,40.281521",28000,488,305
1531343135,2018-07-11T21:05:35Z,KNE434,"19.994371,40.160671",27925,489,305
1531343195,2018-07-11T21:06:35Z,KNE434,"20.073605,40.043869",27000,483,305
1531343260,2018-07-11T21:07:40Z,KNE434,"20.156048,39.921471",25950,469,305
1531343319,2018-07-11T21:08:39Z,KNE434,"20.238865,39.8167",24275,456,316
1531343381,2018-07-11T21:09:41Z,KNE434,"20.336838,39.736763",22675,416,328
1531343445,2018-07-11T21:10:45Z,KNE434,"20.444321,39.681831",20375,395,337
1531343507,2018-07-11T21:11:47Z,KNE434,"20.54924,39.635777",18475,376,337
1531343571,2018-07-11T21:12:51Z,KNE434,"20.649595,39.59198",16750,357,337
1531343605,2018-07-11T21:13:25Z,KNE434,"20.699871,39.569859",15875,348,337
1531343635,2018-07-11T21:13:55Z,KNE434,"20.744843,39.550144",15350,336,337
1531343669,2018-07-11T21:14:29Z,KNE434,"20.792557,39.52911",14575,330,337
1531343701,2018-07-11T21:15:01Z,KNE434,"20.840195,39.508209",13725,332,337
1531343731,2018-07-11T21:15:31Z,KNE434,"20.882822,39.489506",12950,334,337
1531343762,2018-07-11T21:16:02Z,KNE434,"20.926941,39.470051",12150,329,336
1531343783,2018-07-11T21:16:23Z,KNE434,"20.952045,39.449657",11600,324,310
1531343789,2018-07-11T21:16:29Z,KNE434,"20.957258,39.441868",11450,322,301
1531343796,2018-07-11T21:16:36Z,KNE434,"20.961594,39.433121",11300,321,296
1531343805,2018-07-11T21:16:45Z,KNE434,"20.967178,39.419827",11100,319,293
1531343830,2018-07-11T21:17:10Z,KNE434,"20.981466,39.382442",10525,312,291
1531343843,2018-07-11T21:17:23Z,KNE434,"20.987961,39.365044",10325,307,291
1531343855,2018-07-11T21:17:35Z,KNE434,"20.994221,39.348083",10125,298,291
1531343868,2018-07-11T21:17:48Z,KNE434,"21.000183,39.331692",9950,287,290
1531343879,2018-07-11T21:17:59Z,KNE434,"21.005768,39.316097",9775,277,290
1531343891,2018-07-11T21:18:11Z,KNE434,"21.011398,39.3004",9575,270,291
1531343905,2018-07-11T21:18:25Z,KNE434,"21.016891,39.285198",9375,262,291
1531343916,2018-07-11T21:18:36Z,KNE434,"21.022293,39.27063",9200,257,291
1531343928,2018-07-11T21:18:48Z,KNE434,"21.027557,39.256798",9000,254,291
1531343940,2018-07-11T21:19:00Z,KNE434,"21.032906,39.242657",8775,251,291
1531343953,2018-07-11T21:19:13Z,KNE434,"21.038214,39.228413",8575,249,291
1531343965,2018-07-11T21:19:25Z,KNE434,"21.043488,39.2146",8375,245,292
1531343978,2018-07-11T21:19:38Z,KNE434,"21.048735,39.201",8175,242,292
1531343989,2018-07-11T21:19:49Z,KNE434,"21.05397,39.187634",7975,238,292
1531343998,2018-07-11T21:19:58Z,KNE434,"21.058929,39.177959",7800,235,304
1531344007,2018-07-11T21:20:07Z,KNE434,"21.065643,39.170456",7650,232,321
1531344017,2018-07-11T21:20:17Z,KNE434,"21.074295,39.165409",7500,231,338
1531344023,2018-07-11T21:20:23Z,KNE434,"21.081181,39.163666",7400,231,352
1531344048,2018-07-11T21:20:48Z,KNE434,"21.107208,39.167507",7050,229,11
1531344055,2018-07-11T21:20:55Z,KNE434,"21.114716,39.169155",6925,228,11
1531344070,2018-07-11T21:21:10Z,KNE434,"21.129827,39.172363",6700,226,10
1531344085,2018-07-11T21:21:25Z,KNE434,"21.145111,39.1754",6450,222,10
1531344097,2018-07-11T21:21:37Z,KNE434,"21.1577,39.177795",6250,221,10
1531344110,2018-07-11T21:21:50Z,KNE434,"21.170242,39.180191",6050,222,10
1531344129,2018-07-11T21:22:09Z,KNE434,"21.188856,39.183758",5750,224,10
1531344140,2018-07-11T21:22:20Z,KNE434,"21.201612,39.186249",5550,224,10
1531344153,2018-07-11T21:22:33Z,KNE434,"21.21353,39.188587",5350,224,10
1531344164,2018-07-11T21:22:44Z,KNE434,"21.226284,39.191181",5150,225,11
1531344177,2018-07-11T21:22:57Z,KNE434,"21.23877,39.193775",4950,222,10
1531344186,2018-07-11T21:23:06Z,KNE434,"21.248304,39.195709",4800,222,10
1531344192,2018-07-11T21:23:12Z,KNE434,"21.254517,39.196972",4700,220,10
1531344201,2018-07-11T21:23:21Z,KNE434,"21.263153,39.198761",4550,218,10
1531344210,2018-07-11T21:23:30Z,KNE434,"21.272507,39.200619",4400,216,10
1531344217,2018-07-11T21:23:37Z,KNE434,"21.278236,39.201813",4325,215,10
1531344223,2018-07-11T21:23:43Z,KNE434,"21.284317,39.203014",4225,214,10
1531344232,2018-07-11T21:23:52Z,KNE434,"21.293087,39.204815",4075,213,10
1531344238,2018-07-11T21:23:58Z,KNE434,"21.299744,39.206135",3950,213,10
1531344245,2018-07-11T21:24:05Z,KNE434,"21.305935,39.207409",3850,212,10
1531344253,2018-07-11T21:24:13Z,KNE434,"21.314301,39.209106",3700,211,10
1531344259,2018-07-11T21:24:19Z,KNE434,"21.320435,39.210354",3625,210,10
1531344269,2018-07-11T21:24:29Z,KNE434,"21.329224,39.212204",3525,208,10
1531344278,2018-07-11T21:24:38Z,KNE434,"21.337555,39.213902",3425,207,10
1531344287,2018-07-11T21:24:47Z,KNE434,"21.346016,39.215649",3325,205,10
1531344293,2018-07-11T21:24:53Z,KNE434,"21.352203,39.216946",3250,205,10
1531344300,2018-07-11T21:25:00Z,KNE434,"21.3582,39.218143",3175,204,10
1531344306,2018-07-11T21:25:06Z,KNE434,"21.363985,39.219311",3100,204,10
1531344314,2018-07-11T21:25:14Z,KNE434,"21.372179,39.220989",3000,204,10
1531344320,2018-07-11T21:25:20Z,KNE434,"21.377975,39.222141",2925,204,10
1531344327,2018-07-11T21:25:27Z,KNE434,"21.38377,39.223278",2875,204,10
1531344334,2018-07-11T21:25:34Z,KNE434,"21.389511,39.224438",2825,204,10
1531344344,2018-07-11T21:25:44Z,KNE434,"21.40053,39.226635",2800,204,10
1531344354,2018-07-11T21:25:54Z,KNE434,"21.409561,39.228466",2800,206,10
1531344361,2018-07-11T21:26:01Z,KNE434,"21.415009,39.22958",2800,206,10
1531344375,2018-07-11T21:26:15Z,KNE434,"21.429337,39.232529",2800,206,11
1531344383,2018-07-11T21:26:23Z,KNE434,"21.435583,39.233807",2800,206,11
1531344391,2018-07-11T21:26:31Z,KNE434,"21.444288,39.235638",2800,207,11
1531344400,2018-07-11T21:26:40Z,KNE434,"21.45282,39.23737",2800,207,10
1531344410,2018-07-11T21:26:50Z,KNE434,"21.461699,39.239044",2800,206,6
1531344433,2018-07-11T21:27:13Z,KNE434,"21.483444,39.234474",2825,188,341
1531344440,2018-07-11T21:27:20Z,KNE434,"21.488886,39.232483",2825,186,340
1531344449,2018-07-11T21:27:29Z,KNE434,"21.496008,39.229839",2825,184,340
1531344455,2018-07-11T21:27:35Z,KNE434,"21.501297,39.227833",2800,182,340
1531344469,2018-07-11T21:27:49Z,KNE434,"21.510998,39.224091",2800,180,339
1531344483,2018-07-11T21:28:03Z,KNE434,"21.522812,39.219444",2800,180,339
1531344492,2018-07-11T21:28:12Z,KNE434,"21.529852,39.216663",2800,179,339
1531344502,2018-07-11T21:28:22Z,KNE434,"21.537003,39.213802",2775,171,339
1531344508,2018-07-11T21:28:28Z,KNE434,"21.541489,39.212051",2675,169,339
1531344514,2018-07-11T21:28:34Z,KNE434,"21.546051,39.210255",2575,169,339
1531344520,2018-07-11T21:28:40Z,KNE434,"21.550753,39.208424",2450,168,339
1531344526,2018-07-11T21:28:46Z,KNE434,"21.55513,39.206696",2375,167,340
1531344532,2018-07-11T21:28:52Z,KNE434,"21.559616,39.20496",2275,165,339
1531344538,2018-07-11T21:28:58Z,KNE434,"21.563787,39.203339",2200,162,339
1531344545,2018-07-11T21:29:05Z,KNE434,"21.567856,39.201717",2150,161,339
