Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1531511616,2018-07-13T19:53:36Z,KNE434,"18.244322,42.645168",0,10,11
1531511818,2018-07-13T19:56:58Z,KNE434,"18.244537,42.645454",0,21,39
1531511824,2018-07-13T19:57:04Z,KNE434,"18.244778,42.645653",0,26,39
1531511858,2018-07-13T19:57:38Z,KNE434,"18.246059,42.645847",0,25,306
1531511878,2018-07-13T19:57:58Z,KNE434,"18.246746,42.644978",0,28,309
1531511895,2018-07-13T19:58:15Z,KNE434,"18.247196,42.644394",0,15,309
1531511918,2018-07-13T19:58:38Z,KNE434,"18.247375,42.644169",0,2,309
1531512001,2018-07-13T20:00:01Z,KNE434,"18.248116,42.643818",0,11,354
1531512026,2018-07-13T20:00:26Z,KNE434,"18.248589,42.643764",0,12,354
1531512044,2018-07-13T20:00:44Z,KNE434,"18.248838,42.643745",0,10,354
1531512070,2018-07-13T20:01:10Z,KNE434,"18.249094,42.643757",0,2,5
1531512102,2018-07-13T20:01:42Z,KNE434,"18.249332,42.643848",0,14,22
1531512112,2018-07-13T20:01:52Z,KNE434,"18.249537,42.643982",0,18,30
1531512124,2018-07-13T20:02:04Z,KNE434,"18.24984,42.644245",0,16,39
1531512170,2018-07-13T20:02:50Z,KNE434,"18.249466,42.643932",0,0,296
1531512228,2018-07-13T20:03:48Z,KNE434,"18.249504,42.644817",0,28,129
1531512244,2018-07-13T20:04:04Z,KNE434,"18.24622,42.649063",0,100,129
1531512251,2018-07-13T20:04:11Z,KNE434,"18.24329,42.652813",0,130,129
1531512275,2018-07-13T20:04:35Z,KNE434,"18.231628,42.668053",7050,175,128
1531512297,2018-07-13T20:04:57Z,KNE434,"18.219707,42.681885",7750,182,144
1531512309,2018-07-13T20:05:09Z,KNE434,"18.20993,42.685169",8150,184,176
1531512331,2018-07-13T20:05:31Z,KNE434,"18.19322,42.676891",8450,194,228
1531512343,2018-07-13T20:05:43Z,KNE434,"18.188984,42.665554",8550,199,261
