Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1531598539,2018-07-14T20:02:19Z,KNE434,"18.244183,42.645172",0,18,39
1531598554,2018-07-14T20:02:34Z,KNE434,"18.244629,42.645565",0,26,39
1531598597,2018-07-14T20:03:17Z,KNE434,"18.246836,42.644855",0,16,309
1531598628,2018-07-14T20:03:48Z,KNE434,"18.248497,42.643787",0,28,354
1531598634,2018-07-14T20:03:54Z,KNE434,"18.24876,42.643764",0,15,354
1531598775,2018-07-14T20:06:15Z,KNE434,"18.249023,42.643764",0,15,357
1531598785,2018-07-14T20:06:25Z,KNE434,"18.249252,42.643814",0,19,19
1531598792,2018-07-14T20:06:32Z,KNE434,"18.249527,42.643986",0,22,36
1531598799,2018-07-14T20:06:39Z,KNE434,"18.249746,42.64418",0,21,53
1531598807,2018-07-14T20:06:47Z,KNE434,"18.249802,42.644474",0,16,92
1531598814,2018-07-14T20:06:54Z,KNE434,"18.248875,42.643764",0,9,123
1531598856,2018-07-14T20:07:36Z,KNE434,"18.249256,42.645107",0,33,129
1531598863,2018-07-14T20:07:43Z,KNE434,"18.248131,42.646561",0,67,129
1531598871,2018-07-14T20:07:51Z,KNE434,"18.246277,42.648975",0,98,129
1531598879,2018-07-14T20:07:59Z,KNE434,"18.243416,42.652653",0,130,129
1531598885,2018-07-14T20:08:05Z,KNE434,"18.240784,42.656067",0,155,129
1531598893,2018-07-14T20:08:13Z,KNE434,"18.237362,42.6605",0,175,129
1531598901,2018-07-14T20:08:21Z,KNE434,"18.232361,42.666973",7025,176,129
1531598913,2018-07-14T20:08:33Z,KNE434,"18.225992,42.674744",7425,180,135
1531598919,2018-07-14T20:08:39Z,KNE434,"18.221617,42.67794",7675,178,150
1531598929,2018-07-14T20:08:49Z,KNE434,"18.214462,42.679924",7975,180,176
1531598950,2018-07-14T20:09:10Z,KNE434,"18.198433,42.672497",8350,186,229
1531598956,2018-07-14T20:09:16Z,KNE434,"18.195648,42.667614",8400,189,245
1531598963,2018-07-14T20:09:23Z,KNE434,"18.194138,42.661873",8475,193,259
1531598969,2018-07-14T20:09:29Z,KNE434,"18.19368,42.656185",8525,198,267
1531598975,2018-07-14T20:09:35Z,KNE434,"18.193542,42.650349",8600,202,269
1531598981,2018-07-14T20:09:41Z,KNE434,"18.193588,42.643925",8650,209,270
1531598990,2018-07-14T20:09:50Z,KNE434,"18.19368,42.634357",8775,218,270
1531599019,2018-07-14T20:10:19Z,KNE434,"18.193359,42.602428",9875,207,268
1531599033,2018-07-14T20:10:33Z,KNE434,"18.192894,42.5895",10225,206,267
1531599045,2018-07-14T20:10:45Z,KNE434,"18.193686,42.577267",10350,214,279
1531599052,2018-07-14T20:10:52Z,KNE434,"18.194803,42.571022",10400,218,281
1531599059,2018-07-14T20:10:59Z,KNE434,"18.196199,42.564232",10475,225,282
1531599065,2018-07-14T20:11:05Z,KNE434,"18.197662,42.557552",10550,230,283
1531599079,2018-07-14T20:11:19Z,KNE434,"18.201553,42.540092",10625,252,283
1531599090,2018-07-14T20:11:30Z,KNE434,"18.204987,42.524937",10950,260,283
1531599104,2018-07-14T20:11:44Z,KNE434,"18.208282,42.510075",11375,262,283
1531599116,2018-07-14T20:11:56Z,KNE434,"18.21184,42.49437",11800,264,283
1531599129,2018-07-14T20:12:09Z,KNE434,"18.215469,42.478588",12275,266,283
1531599162,2018-07-14T20:12:42Z,KNE434,"18.225494,42.435379",13450,271,283
1531599195,2018-07-14T20:13:15Z,KNE434,"18.235676,42.391445",14575,277,283
1531599228,2018-07-14T20:13:48Z,KNE434,"18.245405,42.350746",15600,282,284
1531599258,2018-07-14T20:14:18Z,KNE434,"18.255524,42.309624",16600,288,284
1531599289,2018-07-14T20:14:49Z,KNE434,"18.266739,42.267101",17600,293,286
1531599314,2018-07-14T20:15:14Z,KNE434,"18.277359,42.233997",18275,297,296
1531599321,2018-07-14T20:15:21Z,KNE434,"18.284637,42.223698",18400,302,311
1531599328,2018-07-14T20:15:28Z,KNE434,"18.290792,42.217113",18525,306,315
1531599335,2018-07-14T20:15:35Z,KNE434,"18.296938,42.210819",18625,310,315
1531599341,2018-07-14T20:15:41Z,KNE434,"18.303452,42.204224",18725,315,315
1531599402,2018-07-14T20:16:42Z,KNE434,"18.37207,42.132912",19500,362,314
1531599464,2018-07-14T20:17:44Z,KNE434,"18.448746,42.051937",20875,383,314
1531599525,2018-07-14T20:18:45Z,KNE434,"18.5263,41.970272",22725,386,314
1531599589,2018-07-14T20:19:49Z,KNE434,"18.604706,41.887337",24025,401,314
1531599649,2018-07-14T20:20:49Z,KNE434,"18.689512,41.797535",24000,448,314
1531599712,2018-07-14T20:21:52Z,KNE434,"18.784698,41.696304",24000,482,314
1531599772,2018-07-14T20:22:52Z,KNE434,"18.881836,41.59306",24000,483,314
1531599834,2018-07-14T20:23:54Z,KNE434,"18.978462,41.49017",24000,481,314
1531599898,2018-07-14T20:24:58Z,KNE434,"19.079016,41.382751",24000,480,314
1531599959,2018-07-14T20:25:59Z,KNE434,"19.176962,41.27808",24000,481,314
1531600021,2018-07-14T20:27:01Z,KNE434,"19.273041,41.17519",24000,481,314
1531600048,2018-07-14T20:27:28Z,KNE434,"19.315176,41.129868",24000,480,314
1531600138,2018-07-14T20:28:58Z,KNE434,"19.456467,40.978218",24000,480,314
1531600199,2018-07-14T20:29:59Z,KNE434,"19.550404,40.877232",24000,480,314
1531600262,2018-07-14T20:31:02Z,KNE434,"19.650166,40.769615",24000,480,314
1531600322,2018-07-14T20:32:02Z,KNE434,"19.744858,40.667366",24000,482,314
1531600387,2018-07-14T20:33:07Z,KNE434,"19.844521,40.559628",24000,482,314
1531600447,2018-07-14T20:34:07Z,KNE434,"19.938789,40.457603",24000,483,314
1531600511,2018-07-14T20:35:11Z,KNE434,"20.038736,40.349037",24000,481,314
1531600571,2018-07-14T20:36:11Z,KNE434,"20.132263,40.247433",24000,484,314
1531600634,2018-07-14T20:37:14Z,KNE434,"20.232115,40.138649",24000,483,314
1531600695,2018-07-14T20:38:15Z,KNE434,"20.326904,40.03521",23925,483,314
1531600758,2018-07-14T20:39:18Z,KNE434,"20.423904,39.929073",23000,468,313
1531600818,2018-07-14T20:40:18Z,KNE434,"20.513662,39.830685",20775,458,314
1531600883,2018-07-14T20:41:23Z,KNE434,"20.606918,39.72813",17800,442,314
1531600915,2018-07-14T20:41:55Z,KNE434,"20.653336,39.677223",16500,425,313
1531600949,2018-07-14T20:42:29Z,KNE434,"20.697777,39.628284",15275,411,313
1531600982,2018-07-14T20:43:02Z,KNE434,"20.741913,39.579769",14350,397,314
1531601015,2018-07-14T20:43:35Z,KNE434,"20.784597,39.5355",13200,393,322
1531601021,2018-07-14T20:43:41Z,KNE434,"20.793814,39.52916",13000,393,329
1531601027,2018-07-14T20:43:47Z,KNE434,"20.80394,39.523708",12775,394,335
1531601037,2018-07-14T20:43:57Z,KNE434,"20.818771,39.517136",12450,392,337
1531601043,2018-07-14T20:44:03Z,KNE434,"20.829241,39.51263",12225,392,338
1531601049,2018-07-14T20:44:09Z,KNE434,"20.840738,39.507687",12025,391,338
1531601059,2018-07-14T20:44:19Z,KNE434,"20.857405,39.500443",11800,391,338
1531601239,2018-07-14T20:47:19Z,KNE434,"21.099476,39.394329",9825,255,337
1531601251,2018-07-14T20:47:31Z,KNE434,"21.112747,39.388535",9625,252,337
1531601262,2018-07-14T20:47:42Z,KNE434,"21.126068,39.382641",9400,250,337
1531601276,2018-07-14T20:47:56Z,KNE434,"21.138674,39.377087",9175,247,337
1531601287,2018-07-14T20:48:07Z,KNE434,"21.151978,39.371155",8950,244,337
1531601308,2018-07-14T20:48:28Z,KNE434,"21.173773,39.361622",8650,238,338
1531601320,2018-07-14T20:48:40Z,KNE434,"21.186016,39.356487",8475,233,338
1531601332,2018-07-14T20:48:52Z,KNE434,"21.198492,39.351349",8250,232,339
1531601346,2018-07-14T20:49:06Z,KNE434,"21.210968,39.346264",8025,231,338
1531601357,2018-07-14T20:49:17Z,KNE434,"21.22316,39.341293",7800,230,339
1531601369,2018-07-14T20:49:29Z,KNE434,"21.23485,39.336548",7575,228,339
1531601382,2018-07-14T20:49:42Z,KNE434,"21.247284,39.331455",7325,226,339
1531601393,2018-07-14T20:49:53Z,KNE434,"21.259243,39.32663",7100,224,339
1531601407,2018-07-14T20:50:07Z,KNE434,"21.271088,39.321766",6875,224,338
1531601419,2018-07-14T20:50:19Z,KNE434,"21.283358,39.316711",6625,223,339
1531601431,2018-07-14T20:50:31Z,KNE434,"21.294754,39.312027",6400,222,339
1531601443,2018-07-14T20:50:43Z,KNE434,"21.306656,39.307133",6175,220,338
1531601455,2018-07-14T20:50:55Z,KNE434,"21.318691,39.302166",5925,220,338
1531601471,2018-07-14T20:51:11Z,KNE434,"21.333168,39.296162",5625,218,338
1531601482,2018-07-14T20:51:22Z,KNE434,"21.344574,39.291485",5400,218,338
1531601495,2018-07-14T20:51:35Z,KNE434,"21.356461,39.28656",5175,217,338
1531601511,2018-07-14T20:51:51Z,KNE434,"21.37055,39.28075",4875,216,338
1531601517,2018-07-14T20:51:57Z,KNE434,"21.376373,39.27837",4750,216,338
1531601523,2018-07-14T20:52:03Z,KNE434,"21.381958,39.276024",4650,215,338
1531601535,2018-07-14T20:52:15Z,KNE434,"21.393732,39.271191",4425,215,339
1531601541,2018-07-14T20:52:21Z,KNE434,"21.399536,39.268833",4375,214,339
1531601547,2018-07-14T20:52:27Z,KNE434,"21.404755,39.266685",4325,214,339
1531601556,2018-07-14T20:52:36Z,KNE434,"21.41361,39.263153",4250,218,339
1531601568,2018-07-14T20:52:48Z,KNE434,"21.424923,39.25827",4150,219,337
1531601578,2018-07-14T20:52:58Z,KNE434,"21.433777,39.254452",4050,218,338
1531601590,2018-07-14T20:53:10Z,KNE434,"21.445587,39.249805",3950,218,340
1531601596,2018-07-14T20:53:16Z,KNE434,"21.451355,39.247608",3900,218,339
1531601602,2018-07-14T20:53:22Z,KNE434,"21.457443,39.245213",3850,219,339
1531601612,2018-07-14T20:53:32Z,KNE434,"21.466278,39.241714",3725,220,339
1531601618,2018-07-14T20:53:38Z,KNE434,"21.472219,39.239349",3625,220,339
1531601624,2018-07-14T20:53:44Z,KNE434,"21.477814,39.237122",3525,220,339
1531601630,2018-07-14T20:53:50Z,KNE434,"21.483765,39.234772",3425,220,339
1531601636,2018-07-14T20:53:56Z,KNE434,"21.489716,39.232426",3325,220,339
1531601642,2018-07-14T20:54:02Z,KNE434,"21.496054,39.229992",3225,220,339
1531601651,2018-07-14T20:54:11Z,KNE434,"21.50473,39.226585",3075,220,339
1531601658,2018-07-14T20:54:18Z,KNE434,"21.510498,39.224289",2950,220,339
1531601664,2018-07-14T20:54:24Z,KNE434,"21.516586,39.22184",2875,218,339
1531601670,2018-07-14T20:54:30Z,KNE434,"21.522263,39.219593",2825,215,339
1531601679,2018-07-14T20:54:39Z,KNE434,"21.530731,39.216297",2800,207,339
1531601685,2018-07-14T20:54:45Z,KNE434,"21.536087,39.214199",2750,203,339
1531601691,2018-07-14T20:54:51Z,KNE434,"21.541536,39.212036",2650,203,339
1531601697,2018-07-14T20:54:57Z,KNE434,"21.547028,39.209904",2525,202,339
1531601703,2018-07-14T20:55:03Z,KNE434,"21.552151,39.207867",2425,202,339
1531601710,2018-07-14T20:55:10Z,KNE434,"21.557735,39.205677",2350,198,339
1531601721,2018-07-14T20:55:21Z,KNE434,"21.566673,39.202168",2150,197,339
1531601729,2018-07-14T20:55:29Z,KNE434,"21.574541,39.199017",1975,195,339
1531601743,2018-07-14T20:55:43Z,KNE434,"21.585621,39.194691",1775,189,340
1531601751,2018-07-14T20:55:51Z,KNE434,"21.590416,39.19281",1700,181,339
1531601757,2018-07-14T20:55:57Z,KNE434,"21.595072,39.190979",1625,175,339
1531601769,2018-07-14T20:56:09Z,KNE434,"21.604195,39.187366",1450,164,339
1531601779,2018-07-14T20:56:19Z,KNE434,"21.612528,39.184113",1275,155,339
1531601785,2018-07-14T20:56:25Z,KNE434,"21.616379,39.18259",1200,151,339
1531601793,2018-07-14T20:56:33Z,KNE434,"21.620499,39.180943",1150,143,339
1531601805,2018-07-14T20:56:45Z,KNE434,"21.627594,39.178146",1000,138,339
1531601816,2018-07-14T20:56:56Z,KNE434,"21.635105,39.175213",875,135,339
1531601828,2018-07-14T20:57:08Z,KNE434,"21.642136,39.172413",750,135,339
1531601839,2018-07-14T20:57:19Z,KNE434,"21.649025,39.169666",625,136,339
1531601846,2018-07-14T20:57:26Z,KNE434,"21.652725,39.168209",550,137,339
1531601859,2018-07-14T20:57:39Z,KNE434,"21.660141,39.16531",400,136,340
1531601875,2018-07-14T20:57:55Z,KNE434,"21.670441,39.161278",0,115,340
1531601882,2018-07-14T20:58:02Z,KNE434,"21.673325,39.16013",0,100,340
1531601891,2018-07-14T20:58:11Z,KNE434,"21.676794,39.158756",0,82,340
1531601900,2018-07-14T20:58:20Z,KNE434,"21.679831,39.157562",0,70,340
1531601909,2018-07-14T20:58:29Z,KNE434,"21.68231,39.156582",0,61,340
1531601923,2018-07-14T20:58:43Z,KNE434,"21.685568,39.155285",0,59,340
1531601932,2018-07-14T20:58:52Z,KNE434,"21.688303,39.154205",0,57,340
1531601938,2018-07-14T20:58:58Z,KNE434,"21.689632,39.153687",0,55,340
1531602059,2018-07-14T21:00:59Z,KNE434,"21.698696,39.147007",0,32,340
1531602066,2018-07-14T21:01:06Z,KNE434,"21.698999,39.146893",0,31,340
1531602086,2018-07-14T21:01:26Z,KNE434,"21.70031,39.146385",0,15,340
1531602095,2018-07-14T21:01:35Z,KNE434,"21.70092,39.14613",0,16,340
1531602104,2018-07-14T21:01:44Z,KNE434,"21.701618,39.145863",0,17,340
1531602132,2018-07-14T21:02:12Z,KNE434,"21.702316,39.145573",0,2,337
1531602214,2018-07-14T21:03:34Z,KNE434,"21.702404,39.1451",0,16,253
1531602226,2018-07-14T21:03:46Z,KNE434,"21.70229,39.144798",0,13,250
