Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1531948361,2018-07-18T21:12:41Z,KNE434,"18.469574,42.196476",16450,409,318
1531948395,2018-07-18T21:13:15Z,KNE434,"18.517593,42.152237",17500,415,318
1531948447,2018-07-18T21:14:07Z,KNE434,"18.592545,42.082981",18825,428,318
1531948511,2018-07-18T21:15:11Z,KNE434,"18.692413,41.990726",20300,447,318
1531948573,2018-07-18T21:16:13Z,KNE434,"18.785019,41.905094",22675,429,318
1531948637,2018-07-18T21:17:17Z,KNE434,"18.883636,41.813515",23800,443,318
1531948698,2018-07-18T21:18:18Z,KNE434,"18.979202,41.72485",24000,445,318
1531948760,2018-07-18T21:19:20Z,KNE434,"19.075478,41.635239",24000,448,318
1531948821,2018-07-18T21:20:21Z,KNE434,"19.170631,41.546547",24000,449,318
1531948883,2018-07-18T21:21:23Z,KNE434,"19.266994,41.456608",24000,449,318
1531948944,2018-07-18T21:22:24Z,KNE434,"19.362333,41.36747",23975,449,318
1531949009,2018-07-18T21:23:29Z,KNE434,"19.463425,41.272888",24000,449,318
1531949069,2018-07-18T21:24:29Z,KNE434,"19.557999,41.184212",24000,449,318
1531949131,2018-07-18T21:25:31Z,KNE434,"19.653305,41.094803",24000,448,318
1531949195,2018-07-18T21:26:35Z,KNE434,"19.75272,41.001225",24000,446,318
1531949259,2018-07-18T21:27:39Z,KNE434,"19.85141,40.908241",23975,447,318
1531949319,2018-07-18T21:28:39Z,KNE434,"19.945404,40.819458",24000,447,318
1531949382,2018-07-18T21:29:42Z,KNE434,"20.042601,40.727665",23975,450,318
1531949419,2018-07-18T21:30:19Z,KNE434,"20.096415,40.670338",24000,450,307
1531949425,2018-07-18T21:30:25Z,KNE434,"20.103724,40.659653",24000,449,305
1531949431,2018-07-18T21:30:31Z,KNE434,"20.110977,40.64809",24000,448,303
1531949507,2018-07-18T21:31:47Z,KNE434,"20.19734,40.506493",24000,447,302
1531949551,2018-07-18T21:32:31Z,KNE434,"20.246796,40.425175",23975,449,302
1531949641,2018-07-18T21:34:01Z,KNE434,"20.347458,40.259205",24000,451,302
1531949700,2018-07-18T21:35:00Z,KNE434,"20.412876,40.151234",23300,416,302
1531949763,2018-07-18T21:36:03Z,KNE434,"20.47522,40.047962",22325,392,302
1531949825,2018-07-18T21:37:05Z,KNE434,"20.53801,39.943691",21200,391,302
1531949888,2018-07-18T21:38:08Z,KNE434,"20.597597,39.844864",19500,385,302
1531949949,2018-07-18T21:39:09Z,KNE434,"20.656019,39.747787",17825,368,302
1531949981,2018-07-18T21:39:41Z,KNE434,"20.68409,39.700893",17025,359,302
1531950011,2018-07-18T21:40:11Z,KNE434,"20.710718,39.656498",16575,339,302
1531950044,2018-07-18T21:40:44Z,KNE434,"20.736786,39.612972",15900,330,302
1531950073,2018-07-18T21:41:13Z,KNE434,"20.761553,39.571556",15375,319,302
1531950098,2018-07-18T21:41:38Z,KNE434,"20.781292,39.541294",14975,310,312
1531950108,2018-07-18T21:41:48Z,KNE434,"20.792744,39.531155",14775,309,324
1531950117,2018-07-18T21:41:57Z,KNE434,"20.805313,39.524364",14525,311,336
1531950125,2018-07-18T21:42:05Z,KNE434,"20.81332,39.520767",14400,310,337
1531950134,2018-07-18T21:42:14Z,KNE434,"20.825912,39.515369",14225,306,338
1531950142,2018-07-18T21:42:22Z,KNE434,"20.836945,39.510712",14050,304,338
1531950173,2018-07-18T21:42:53Z,KNE434,"20.878214,39.493053",13275,300,337
1531950204,2018-07-18T21:43:24Z,KNE434,"20.917419,39.47628",12575,295,338
1531950234,2018-07-18T21:43:54Z,KNE434,"20.955164,39.460243",11950,287,338
1531950247,2018-07-18T21:44:07Z,KNE434,"20.971178,39.453403",11650,285,338
1531950258,2018-07-18T21:44:18Z,KNE434,"20.985609,39.447208",11325,284,337
1531950271,2018-07-18T21:44:31Z,KNE434,"21.00032,39.440918",11025,283,338
1531950284,2018-07-18T21:44:44Z,KNE434,"21.015867,39.434227",10725,281,338
1531950295,2018-07-18T21:44:55Z,KNE434,"21.030762,39.427883",10425,280,338
1531950313,2018-07-18T21:45:13Z,KNE434,"21.04985,39.419796",9975,280,338
1531950323,2018-07-18T21:45:23Z,KNE434,"21.064516,39.413555",9600,280,338
1531950334,2018-07-18T21:45:34Z,KNE434,"21.078714,39.407398",9300,280,338
1531950349,2018-07-18T21:45:49Z,KNE434,"21.093979,39.400917",8975,279,338
1531950358,2018-07-18T21:45:58Z,KNE434,"21.104923,39.39621",8725,277,338
1531950368,2018-07-18T21:46:08Z,KNE434,"21.119385,39.390079",8425,276,338
