Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532204307,2018-07-21T20:18:27Z,KNE434,"18.42128,42.199223",18350,406,311
1532204368,2018-07-21T20:19:28Z,KNE434,"18.4991,42.106869",19725,423,311
1532204431,2018-07-21T20:20:31Z,KNE434,"18.582779,42.007748",20750,445,311
1532204492,2018-07-21T20:21:32Z,KNE434,"18.666283,41.908848",22425,442,311
1532204555,2018-07-21T20:22:35Z,KNE434,"18.749937,41.809669",24000,438,311
1532204617,2018-07-21T20:23:37Z,KNE434,"18.832941,41.712143",23950,444,311
1532204679,2018-07-21T20:24:39Z,KNE434,"18.919189,41.609932",23975,444,311
1532204741,2018-07-21T20:25:41Z,KNE434,"19.005323,41.507797",23975,447,311
1532204802,2018-07-21T20:26:42Z,KNE434,"19.08963,41.40752",23975,445,311
1532204864,2018-07-21T20:27:44Z,KNE434,"19.174774,41.306297",23975,444,311
1532204929,2018-07-21T20:28:49Z,KNE434,"19.261547,41.202927",23975,444,311
1532204990,2018-07-21T20:29:50Z,KNE434,"19.345945,41.102051",23975,445,311
1532205050,2018-07-21T20:30:50Z,KNE434,"19.422134,40.99725",23975,447,305
1532205113,2018-07-21T20:31:53Z,KNE434,"19.498917,40.885071",23975,445,306
1532205176,2018-07-21T20:32:56Z,KNE434,"19.573866,40.776207",23975,444,305
1532205242,2018-07-21T20:34:02Z,KNE434,"19.651932,40.662167",23975,443,305
1532205303,2018-07-21T20:35:03Z,KNE434,"19.727188,40.552204",23975,444,305
1532205366,2018-07-21T20:36:06Z,KNE434,"19.801895,40.442635",23975,447,305
1532205426,2018-07-21T20:37:06Z,KNE434,"19.87706,40.332108",23975,447,305
1532205454,2018-07-21T20:37:34Z,KNE434,"19.909836,40.283875",23975,447,305
1532205546,2018-07-21T20:39:06Z,KNE434,"20.021896,40.118587",23975,445,305
1532205611,2018-07-21T20:40:11Z,KNE434,"20.099396,40.003967",23975,446,305
1532205673,2018-07-21T20:41:13Z,KNE434,"20.171736,39.896301",23125,439,305
1532205735,2018-07-21T20:42:15Z,KNE434,"20.257187,39.794296",22075,435,316
1532205800,2018-07-21T20:43:20Z,KNE434,"20.367188,39.715771",21000,423,333
1532205864,2018-07-21T20:44:24Z,KNE434,"20.477678,39.666039",19225,411,337
1532205929,2018-07-21T20:45:29Z,KNE434,"20.587494,39.618595",17525,384,337
1532205958,2018-07-21T20:45:58Z,KNE434,"20.638458,39.596199",17050,362,337
1532205991,2018-07-21T20:46:31Z,KNE434,"20.685999,39.575401",16675,339,337
1532206023,2018-07-21T20:47:03Z,KNE434,"20.730286,39.555882",16100,325,337
1532206055,2018-07-21T20:47:35Z,KNE434,"20.774139,39.53651",15350,318,337
1532206084,2018-07-21T20:48:04Z,KNE434,"20.817276,39.517624",14550,313,337
1532206117,2018-07-21T20:48:37Z,KNE434,"20.859406,39.499294",13850,306,338
1532206151,2018-07-21T20:49:11Z,KNE434,"20.900894,39.481281",13000,304,337
