Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532290373,2018-07-22T20:12:53Z,KNE434,"18.468996,42.341309",17150,354,307
1532290406,2018-07-22T20:13:26Z,KNE434,"18.502167,42.295059",18125,364,306
1532290469,2018-07-22T20:14:29Z,KNE434,"18.567266,42.204529",20050,377,306
1532290528,2018-07-22T20:15:28Z,KNE434,"18.632208,42.113991",21250,401,306
1532290590,2018-07-22T20:16:30Z,KNE434,"18.704689,42.012669",21800,437,306
1532290650,2018-07-22T20:17:30Z,KNE434,"18.778702,41.908966",23425,436,306
1532290712,2018-07-22T20:18:32Z,KNE434,"18.852865,41.805027",24000,433,306
1532290773,2018-07-22T20:19:33Z,KNE434,"18.926697,41.701157",24000,435,306
1532290837,2018-07-22T20:20:37Z,KNE434,"19.004021,41.59219",24000,436,306
1532290898,2018-07-22T20:21:38Z,KNE434,"19.078457,41.487171",24000,434,306
1532290959,2018-07-22T20:22:39Z,KNE434,"19.152195,41.382751",24000,433,306
1532291020,2018-07-22T20:23:40Z,KNE434,"19.225004,41.279728",24000,432,306
1532291085,2018-07-22T20:24:45Z,KNE434,"19.302155,41.170429",24000,431,306
1532291145,2018-07-22T20:25:45Z,KNE434,"19.374893,41.067238",24000,431,306
1532291212,2018-07-22T20:26:52Z,KNE434,"19.452923,40.953487",24000,431,305
1532291274,2018-07-22T20:27:54Z,KNE434,"19.525543,40.84766",24000,430,305
1532291336,2018-07-22T20:28:56Z,KNE434,"19.596724,40.743847",24000,431,305
1532291399,2018-07-22T20:29:59Z,KNE434,"19.671673,40.634335",24000,431,305
1532291462,2018-07-22T20:31:02Z,KNE434,"19.746277,40.524982",24000,429,305
1532291523,2018-07-22T20:32:03Z,KNE434,"19.818218,40.419498",24000,429,305
1532291585,2018-07-22T20:33:05Z,KNE434,"19.891352,40.311985",24000,431,305
1532291648,2018-07-22T20:34:08Z,KNE434,"19.964346,40.204468",24000,431,305
1532291712,2018-07-22T20:35:12Z,KNE434,"20.037573,40.0965",24000,431,305
1532291773,2018-07-22T20:36:13Z,KNE434,"20.10931,39.990536",24000,432,305
1532291836,2018-07-22T20:37:16Z,KNE434,"20.182022,39.882874",23950,431,305
1532291896,2018-07-22T20:38:16Z,KNE434,"20.250092,39.78223",23075,391,306
1532291907,2018-07-22T20:38:27Z,KNE434,"20.264832,39.765751",22875,385,316
1532291915,2018-07-22T20:38:35Z,KNE434,"20.273987,39.758442",22750,380,324
1532291924,2018-07-22T20:38:44Z,KNE434,"20.287931,39.750534",22575,377,335
