Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532550785,2018-07-25T20:33:05Z,KNE434,"18.431992,42.300797",18425,335,292
1532550853,2018-07-25T20:34:13Z,KNE434,"18.474792,42.195202",20350,351,292
1532550918,2018-07-25T20:35:18Z,KNE434,"18.512238,42.0924",22075,359,302
1532550924,2018-07-25T20:35:24Z,KNE434,"18.519876,42.082081",22200,365,309
1532550931,2018-07-25T20:35:31Z,KNE434,"18.526533,42.07394",22275,367,310
1532550938,2018-07-25T20:35:38Z,KNE434,"18.536819,42.061745",22375,374,311
1532551001,2018-07-25T20:36:41Z,KNE434,"18.612442,41.972973",23125,410,311
1532551064,2018-07-25T20:37:44Z,KNE434,"18.693008,41.878216",24025,415,311
1532551125,2018-07-25T20:38:45Z,KNE434,"18.771881,41.784977",24000,412,311
1532551188,2018-07-25T20:39:48Z,KNE434,"18.851166,41.691399",24000,415,311
1532551250,2018-07-25T20:40:50Z,KNE434,"18.93132,41.596447",24000,414,311
1532551313,2018-07-25T20:41:53Z,KNE434,"19.01049,41.502552",24000,415,311
1532551375,2018-07-25T20:42:55Z,KNE434,"19.091072,41.406971",23975,417,311
1532551441,2018-07-25T20:44:01Z,KNE434,"19.171562,41.311241",24125,403,311
1532551503,2018-07-25T20:45:03Z,KNE434,"19.245163,41.223644",25825,387,311
1532551563,2018-07-25T20:46:03Z,KNE434,"19.317829,41.137108",26100,386,311
1532551626,2018-07-25T20:47:06Z,KNE434,"19.393204,41.040951",27225,396,305
1532551689,2018-07-25T20:48:09Z,KNE434,"19.462002,40.940952",28025,414,305
1532551750,2018-07-25T20:49:10Z,KNE434,"19.532806,40.83773",28000,431,305
1532551812,2018-07-25T20:50:12Z,KNE434,"19.606081,40.730862",28000,434,305
1532551873,2018-07-25T20:51:13Z,KNE434,"19.678749,40.624695",28000,441,305
1532551939,2018-07-25T20:52:19Z,KNE434,"19.754814,40.513332",28000,434,305
1532551997,2018-07-25T20:53:17Z,KNE434,"19.825947,40.408813",28000,428,305
1532552059,2018-07-25T20:54:19Z,KNE434,"19.897032,40.304245",27525,431,305
1532552120,2018-07-25T20:55:20Z,KNE434,"19.968349,40.199474",26575,421,305
1532552183,2018-07-25T20:56:23Z,KNE434,"20.039108,40.094799",25525,412,305
1532552243,2018-07-25T20:57:23Z,KNE434,"20.106842,39.994728",24550,411,305
1532552305,2018-07-25T20:58:25Z,KNE434,"20.173738,39.895752",23550,410,305
1532552368,2018-07-25T20:59:28Z,KNE434,"20.243612,39.79208",22525,406,305
1532552383,2018-07-25T20:59:43Z,KNE434,"20.262955,39.768642",22250,406,317
1532552389,2018-07-25T20:59:49Z,KNE434,"20.270508,39.762119",22175,406,322
1532552407,2018-07-25T21:00:07Z,KNE434,"20.299988,39.74564",22025,402,336
