Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532635831,2018-07-26T20:10:31Z,KNE434,"18.303406,42.322525",17325,328,311
1532635870,2018-07-26T20:11:10Z,KNE434,"18.345074,42.274094",17800,367,311
1532635902,2018-07-26T20:11:42Z,KNE434,"18.383339,42.229599",18125,394,311
1532635965,2018-07-26T20:12:45Z,KNE434,"18.463736,42.136215",19250,422,312
1532636026,2018-07-26T20:13:46Z,KNE434,"18.543823,42.043205",21600,414,312
1532636089,2018-07-26T20:14:49Z,KNE434,"18.628298,41.944752",22000,454,312
1532636151,2018-07-26T20:15:51Z,KNE434,"18.719168,41.838734",22275,485,311
1532636213,2018-07-26T20:16:53Z,KNE434,"18.813667,41.728172",22950,494,311
1532636275,2018-07-26T20:17:55Z,KNE434,"18.908798,41.616848",23875,496,311
1532636340,2018-07-26T20:19:00Z,KNE434,"19.009605,41.498657",23975,498,311
1532636402,2018-07-26T20:20:02Z,KNE434,"19.105682,41.385792",23975,504,311
1532636461,2018-07-26T20:21:01Z,KNE434,"19.199772,41.275036",23975,504,311
1532636527,2018-07-26T20:22:07Z,KNE434,"19.302374,41.154087",24000,503,311
1532636588,2018-07-26T20:23:08Z,KNE434,"19.393707,41.039478",24000,505,305
1532636651,2018-07-26T20:24:11Z,KNE434,"19.480453,40.91328",24000,504,305
1532636712,2018-07-26T20:25:12Z,KNE434,"19.565254,40.789738",23975,506,305
1532636776,2018-07-26T20:26:16Z,KNE434,"19.65152,40.663784",23975,504,305
1532636838,2018-07-26T20:27:18Z,KNE434,"19.737684,40.537601",23975,505,305
1532636899,2018-07-26T20:28:19Z,KNE434,"19.821396,40.414776",24000,503,305
1532636960,2018-07-26T20:29:20Z,KNE434,"19.905365,40.291409",24000,504,305
1532637000,2018-07-26T20:30:00Z,KNE434,"19.964676,40.214474",24000,503,317
1532637008,2018-07-26T20:30:08Z,KNE434,"19.975983,40.204273",24000,502,320
1532637072,2018-07-26T20:31:12Z,KNE434,"20.094269,40.106083",24000,502,321
1532637134,2018-07-26T20:32:14Z,KNE434,"20.209808,40.010441",24000,502,321
1532637199,2018-07-26T20:33:19Z,KNE434,"20.327593,39.91288",23600,498,321
1532637262,2018-07-26T20:34:22Z,KNE434,"20.443415,39.81665",22350,488,321
1532637322,2018-07-26T20:35:22Z,KNE434,"20.547972,39.729809",20025,466,322
1532637387,2018-07-26T20:36:27Z,KNE434,"20.647036,39.647263",20000,399,321
1532637450,2018-07-26T20:37:30Z,KNE434,"20.739441,39.570351",18325,401,321
1532637489,2018-07-26T20:38:09Z,KNE434,"20.801542,39.525013",15100,421,334
1532637496,2018-07-26T20:38:16Z,KNE434,"20.812454,39.519833",14625,424,336
1532637504,2018-07-26T20:38:24Z,KNE434,"20.828751,39.51228",14125,423,336
1532637537,2018-07-26T20:38:57Z,KNE434,"20.884689,39.486679",13150,373,336
1532637571,2018-07-26T20:39:31Z,KNE434,"20.935053,39.463539",12400,333,336
1532637605,2018-07-26T20:40:05Z,KNE434,"20.979418,39.443214",11825,296,336
1532637617,2018-07-26T20:40:17Z,KNE434,"20.994175,39.436523",11650,285,337
1532637628,2018-07-26T20:40:28Z,KNE434,"21.008743,39.430126",11450,275,337
1532637644,2018-07-26T20:40:44Z,KNE434,"21.026342,39.42244",11175,264,337
1532637654,2018-07-26T20:40:54Z,KNE434,"21.03812,39.41737",11000,255,337
1532637667,2018-07-26T20:41:07Z,KNE434,"21.052368,39.411156",10775,245,338
1532637679,2018-07-26T20:41:19Z,KNE434,"21.065277,39.405563",10575,239,337
1532637698,2018-07-26T20:41:38Z,KNE434,"21.082718,39.397991",10300,232,337
1532637742,2018-07-26T20:42:22Z,KNE434,"21.127304,39.378696",9925,222,337
1532637761,2018-07-26T20:42:41Z,KNE434,"21.143875,39.371456",9550,211,337
1532637905,2018-07-26T20:45:05Z,KNE434,"21.269112,39.313305",6350,187,336
1532637917,2018-07-26T20:45:17Z,KNE434,"21.27887,39.308681",6125,186,335
1532637930,2018-07-26T20:45:30Z,KNE434,"21.288208,39.304237",5850,187,336
1532637941,2018-07-26T20:45:41Z,KNE434,"21.298208,39.299469",5550,190,336
1532637957,2018-07-26T20:45:57Z,KNE434,"21.310404,39.29372",5275,188,336
1532637969,2018-07-26T20:46:09Z,KNE434,"21.320023,39.289158",5050,188,336
1532637981,2018-07-26T20:46:21Z,KNE434,"21.329536,39.284668",4850,186,335
1532637988,2018-07-26T20:46:28Z,KNE434,"21.333727,39.282635",4750,186,335
1532637999,2018-07-26T20:46:39Z,KNE434,"21.343094,39.278172",4500,185,335
1532638008,2018-07-26T20:46:48Z,KNE434,"21.350876,39.274426",4400,183,336
1532638016,2018-07-26T20:46:56Z,KNE434,"21.355728,39.272129",4325,183,336
1532638023,2018-07-26T20:47:03Z,KNE434,"21.362778,39.268833",4250,182,336
1532638030,2018-07-26T20:47:10Z,KNE434,"21.367538,39.266537",4200,180,336
1532638036,2018-07-26T20:47:16Z,KNE434,"21.372025,39.264439",4150,179,336
1532638043,2018-07-26T20:47:23Z,KNE434,"21.376785,39.262142",4100,178,335
1532638053,2018-07-26T20:47:33Z,KNE434,"21.385941,39.257797",4000,176,335
1532638064,2018-07-26T20:47:44Z,KNE434,"21.392616,39.254559",3925,175,336
1532638075,2018-07-26T20:47:55Z,KNE434,"21.401642,39.250355",3825,175,336
1532638081,2018-07-26T20:48:01Z,KNE434,"21.406265,39.248158",3775,175,336
1532638088,2018-07-26T20:48:08Z,KNE434,"21.410477,39.246212",3750,175,336
1532638099,2018-07-26T20:48:19Z,KNE434,"21.419678,39.241867",3650,175,336
1532638105,2018-07-26T20:48:25Z,KNE434,"21.423899,39.239704",3600,175,334
1532638117,2018-07-26T20:48:37Z,KNE434,"21.432541,39.234425",3500,175,332
1532638123,2018-07-26T20:48:43Z,KNE434,"21.436886,39.232227",3450,175,335
1532638129,2018-07-26T20:48:49Z,KNE434,"21.441696,39.23003",3400,176,337
1532638136,2018-07-26T20:48:56Z,KNE434,"21.446411,39.228085",3350,176,339
1532638147,2018-07-26T20:49:07Z,KNE434,"21.455601,39.224499",3250,177,339
1532638159,2018-07-26T20:49:19Z,KNE434,"21.464767,39.220642",3150,176,338
1532638165,2018-07-26T20:49:25Z,KNE434,"21.469254,39.218845",3100,176,340
1532638172,2018-07-26T20:49:32Z,KNE434,"21.474035,39.217121",3050,176,341
1532638183,2018-07-26T20:49:43Z,KNE434,"21.483438,39.213409",2950,174,339
1532638190,2018-07-26T20:49:50Z,KNE434,"21.487885,39.211605",2900,170,339
1532638196,2018-07-26T20:49:56Z,KNE434,"21.492371,39.209854",2850,168,339
1532638202,2018-07-26T20:50:02Z,KNE434,"21.496706,39.208221",2800,165,340
1532638214,2018-07-26T20:50:14Z,KNE434,"21.50528,39.20496",2725,159,340
1532638220,2018-07-26T20:50:20Z,KNE434,"21.509321,39.203442",2725,147,339
1532638231,2018-07-26T20:50:31Z,KNE434,"21.516632,39.200367",2725,138,338
1532638239,2018-07-26T20:50:39Z,KNE434,"21.520248,39.198917",2750,135,339
1532638248,2018-07-26T20:50:48Z,KNE434,"21.527573,39.196171",2725,136,340
1532638256,2018-07-26T20:50:56Z,KNE434,"21.531061,39.194794",2725,135,340
1532638269,2018-07-26T20:51:09Z,KNE434,"21.538137,39.191944",2700,136,339
1532638276,2018-07-26T20:51:16Z,KNE434,"21.543537,39.189758",2650,135,339
1532638282,2018-07-26T20:51:22Z,KNE434,"21.547302,39.188282",2575,135,339
1532638289,2018-07-26T20:51:29Z,KNE434,"21.55094,39.18681",2500,135,339
1532638296,2018-07-26T20:51:36Z,KNE434,"21.554338,39.185486",2450,134,339
1532638303,2018-07-26T20:51:43Z,KNE434,"21.557968,39.184036",2400,134,339
1532638314,2018-07-26T20:51:54Z,KNE434,"21.564999,39.181316",2250,135,339
1532638326,2018-07-26T20:52:06Z,KNE434,"21.572027,39.178772",2125,133,342
1532638334,2018-07-26T20:52:14Z,KNE434,"21.57766,39.177044",2000,133,347
1532638341,2018-07-26T20:52:21Z,KNE434,"21.580965,39.17572",1950,134,336
1532638354,2018-07-26T20:52:34Z,KNE434,"21.587906,39.172104",1825,133,337
1532638364,2018-07-26T20:52:44Z,KNE434,"21.59491,39.169456",1675,134,340
1532638372,2018-07-26T20:52:52Z,KNE434,"21.598375,39.168091",1625,133,340
1532638381,2018-07-26T20:53:01Z,KNE434,"21.605392,39.165359",1475,133,339
1532638389,2018-07-26T20:53:09Z,KNE434,"21.609192,39.163864",1425,132,340
1532638397,2018-07-26T20:53:17Z,KNE434,"21.614389,39.161785",1325,133,339
1532638403,2018-07-26T20:53:23Z,KNE434,"21.617928,39.160412",1250,132,339
1532638410,2018-07-26T20:53:30Z,KNE434,"21.621513,39.158985",1200,132,340
1532638416,2018-07-26T20:53:36Z,KNE434,"21.624756,39.157719",1125,133,339
1532638425,2018-07-26T20:53:45Z,KNE434,"21.63002,39.155624",1025,133,339
1532638434,2018-07-26T20:53:54Z,KNE434,"21.635479,39.153442",925,131,340
1532638445,2018-07-26T20:54:05Z,KNE434,"21.642426,39.15073",800,133,339
1532638458,2018-07-26T20:54:18Z,KNE434,"21.649584,39.1479",675,136,339
1532638470,2018-07-26T20:54:30Z,KNE434,"21.656754,39.145035",525,137,339
1532638483,2018-07-26T20:54:43Z,KNE434,"21.664015,39.1422",400,138,340
1532638493,2018-07-26T20:54:53Z,KNE434,"21.671091,39.139404",250,138,339
1532638505,2018-07-26T20:55:05Z,KNE434,"21.676849,39.137096",175,135,339
1532638511,2018-07-26T20:55:11Z,KNE434,"21.680075,39.13583",0,120,340
1532638518,2018-07-26T20:55:18Z,KNE434,"21.684196,39.134212",0,94,340
1532638524,2018-07-26T20:55:24Z,KNE434,"21.686419,39.133327",0,78,340
1532638533,2018-07-26T20:55:33Z,KNE434,"21.688641,39.132462",0,62,340
1532638542,2018-07-26T20:55:42Z,KNE434,"21.691029,39.131851",0,42,354
1532638554,2018-07-26T20:55:54Z,KNE434,"21.692598,39.13208",0,19,8
1532638563,2018-07-26T20:56:03Z,KNE434,"21.69294,39.132175",0,17,14
1532638570,2018-07-26T20:56:10Z,KNE434,"21.693146,39.132263",0,17,22
1532638581,2018-07-26T20:56:21Z,KNE434,"21.69326,39.132526",0,18,90
1532638590,2018-07-26T20:56:30Z,KNE434,"21.69311,39.132778",0,17,120
1532638601,2018-07-26T20:56:41Z,KNE434,"21.692842,39.132946",0,17,151
1532638621,2018-07-26T20:57:01Z,KNE434,"21.692127,39.13324",0,28,160
1532638634,2018-07-26T20:57:14Z,KNE434,"21.691029,39.133675",0,17,160
1532638641,2018-07-26T20:57:21Z,KNE434,"21.690617,39.133839",0,18,160
1532638651,2018-07-26T20:57:31Z,KNE434,"21.689976,39.134087",0,19,160
1532638663,2018-07-26T20:57:43Z,KNE434,"21.688757,39.134571",0,21,157
1532638670,2018-07-26T20:57:50Z,KNE434,"21.688164,39.134815",0,22,157
1532638683,2018-07-26T20:58:03Z,KNE434,"21.686954,39.135273",0,23,160
1532638689,2018-07-26T20:58:09Z,KNE434,"21.686302,39.13554",0,24,160
1532638702,2018-07-26T20:58:22Z,KNE434,"21.684626,39.1362",0,26,160
1532638709,2018-07-26T20:58:29Z,KNE434,"21.683933,39.136471",0,27,157
1532638722,2018-07-26T20:58:42Z,KNE434,"21.682388,39.137085",0,28,160
1532638732,2018-07-26T20:58:52Z,KNE434,"21.680866,39.137688",0,29,160
1532638743,2018-07-26T20:59:03Z,KNE434,"21.679737,39.138134",0,27,160
1532638752,2018-07-26T20:59:12Z,KNE434,"21.678658,39.138569",0,18,157
1532638759,2018-07-26T20:59:19Z,KNE434,"21.678423,39.138947",0,31,106
1532638777,2018-07-26T20:59:37Z,KNE434,"21.678783,39.140118",0,31,67
1532638793,2018-07-26T20:59:53Z,KNE434,"21.679104,39.141052",0,31,70
1532638799,2018-07-26T20:59:59Z,KNE434,"21.67923,39.141415",0,32,70
1532638811,2018-07-26T21:00:11Z,KNE434,"21.679493,39.142277",0,15,75
1532638820,2018-07-26T21:00:20Z,KNE434,"21.679634,39.142811",0,19,75
1532638827,2018-07-26T21:00:27Z,KNE434,"21.679331,39.142902",0,20,171
1532638834,2018-07-26T21:00:34Z,KNE434,"21.67911,39.142979",0,21,163
1532638842,2018-07-26T21:00:42Z,KNE434,"21.678852,39.143063",0,26,160
1532638853,2018-07-26T21:00:53Z,KNE434,"21.678144,39.143333",0,30,160
1532638859,2018-07-26T21:00:59Z,KNE434,"21.677818,39.143459",0,31,160
1532638865,2018-07-26T21:01:05Z,KNE434,"21.677469,39.143612",0,32,157
1532638876,2018-07-26T21:01:16Z,KNE434,"21.676872,39.143848",0,33,160
1532638886,2018-07-26T21:01:26Z,KNE434,"21.676119,39.144135",0,15,160
1532638899,2018-07-26T21:01:39Z,KNE434,"21.67528,39.144478",0,16,160
1532638907,2018-07-26T21:01:47Z,KNE434,"21.674606,39.144726",0,17,160
1532638915,2018-07-26T21:01:55Z,KNE434,"21.674175,39.144909",0,16,160
1532638924,2018-07-26T21:02:04Z,KNE434,"21.673883,39.145481",0,33,109
1532638932,2018-07-26T21:02:12Z,KNE434,"21.673737,39.145897",0,19,106
1532638952,2018-07-26T21:02:32Z,KNE434,"21.673656,39.146099",0,11,109
1532639090,2018-07-26T21:04:50Z,KNE434,"21.673662,39.146118",0,0,215
1532639340,2018-07-26T21:09:00Z,KNE434,"21.673662,39.146118",0,0,215
1532639767,2018-07-26T21:16:07Z,KNE434,"21.673668,39.146122",0,0,34
1532640097,2018-07-26T21:21:37Z,KNE434,"21.673662,39.146118",0,0,326
