Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532821666,2018-07-28T23:47:46Z,KNE434,"18.453415,42.137226",18300,433,312
1532821674,2018-07-28T23:47:54Z,KNE434,"18.463362,42.125778",18350,438,312
1532821767,2018-07-28T23:49:27Z,KNE434,"18.587402,41.982979",22925,396,312
1532821826,2018-07-28T23:50:26Z,KNE434,"18.662842,41.896168",24000,410,312
1532821887,2018-07-28T23:51:27Z,KNE434,"18.743235,41.803226",23975,424,312
1532821949,2018-07-28T23:52:29Z,KNE434,"18.8237,41.710087",23975,424,312
1532822011,2018-07-28T23:53:31Z,KNE434,"18.904957,41.61591",23975,424,311
1532822071,2018-07-28T23:54:31Z,KNE434,"18.985027,41.522728",24000,421,312
1532822133,2018-07-28T23:55:33Z,KNE434,"19.065811,41.428856",24000,417,312
1532822194,2018-07-28T23:56:34Z,KNE434,"19.14526,41.336258",24000,415,312
1532822256,2018-07-28T23:57:36Z,KNE434,"19.230469,41.236691",23975,451,312
1532822319,2018-07-28T23:58:39Z,KNE434,"19.31769,41.134411",24000,451,312
1532822381,2018-07-28T23:59:41Z,KNE434,"19.401669,41.026993",23975,473,305
1532822445,2018-07-29T00:00:45Z,KNE434,"19.484579,40.906094",24000,478,305
1532822507,2018-07-29T00:01:47Z,KNE434,"19.566231,40.786793",24000,480,305
1532822569,2018-07-29T00:02:49Z,KNE434,"19.647512,40.668041",24000,482,305
1532822630,2018-07-29T00:03:50Z,KNE434,"19.72728,40.551125",24000,480,305
1532822692,2018-07-29T00:04:52Z,KNE434,"19.809235,40.431087",24000,485,305
1532822756,2018-07-29T00:05:56Z,KNE434,"19.892349,40.308838",23975,487,305
1532822773,2018-07-29T00:06:13Z,KNE434,"19.915373,40.275028",23975,485,305
1532822860,2018-07-29T00:07:40Z,KNE434,"20.027939,40.109173",24000,478,305
1532822925,2018-07-29T00:08:45Z,KNE434,"20.109741,39.988224",24025,450,305
1532822986,2018-07-29T00:09:46Z,KNE434,"20.181793,39.881695",23950,435,306
1532823047,2018-07-29T00:10:47Z,KNE434,"20.263412,39.789097",22975,406,319
1532823055,2018-07-29T00:10:55Z,KNE434,"20.277969,39.777451",22825,400,324
1532823061,2018-07-29T00:11:01Z,KNE434,"20.28653,39.771587",22750,396,327
1532823071,2018-07-29T00:11:11Z,KNE434,"20.301544,39.762711",22600,390,331
1532823133,2018-07-29T00:12:13Z,KNE434,"20.400146,39.706158",21575,383,331
1532823198,2018-07-29T00:13:18Z,KNE434,"20.499802,39.649952",20525,379,332
1532823259,2018-07-29T00:14:19Z,KNE434,"20.594604,39.596737",19575,374,332
1532823321,2018-07-29T00:15:21Z,KNE434,"20.690552,39.542442",18550,365,331
1532823382,2018-07-29T00:16:22Z,KNE434,"20.778488,39.492809",17825,352,332
1532823416,2018-07-29T00:16:56Z,KNE434,"20.826401,39.465687",17550,345,331
1532823448,2018-07-29T00:17:28Z,KNE434,"20.874395,39.438522",17300,346,332
1532823481,2018-07-29T00:18:01Z,KNE434,"20.921087,39.412155",17025,346,331
1532823515,2018-07-29T00:18:35Z,KNE434,"20.968231,39.385448",16750,345,331
1532823549,2018-07-29T00:19:09Z,KNE434,"21.015244,39.358765",16475,341,331
1532823581,2018-07-29T00:19:41Z,KNE434,"21.060465,39.333038",16225,339,331
1532823615,2018-07-29T00:20:15Z,KNE434,"21.107895,39.306087",15950,340,331
1532823649,2018-07-29T00:20:49Z,KNE434,"21.154678,39.279617",15675,341,332
1532823682,2018-07-29T00:21:22Z,KNE434,"21.201286,39.253185",15400,342,331
1532823711,2018-07-29T00:21:51Z,KNE434,"21.243393,39.229183",15175,343,331
1532823745,2018-07-29T00:22:25Z,KNE434,"21.290573,39.202271",14775,343,331
1532823778,2018-07-29T00:22:58Z,KNE434,"21.337372,39.175598",14375,357,331
1532823809,2018-07-29T00:23:29Z,KNE434,"21.382507,39.149879",14075,361,331
1532823845,2018-07-29T00:24:05Z,KNE434,"21.437576,39.118469",13525,370,331
1532823867,2018-07-29T00:24:27Z,KNE434,"21.469334,39.100342",13150,371,331
1532823940,2018-07-29T00:25:40Z,KNE434,"21.576263,39.039104",11650,353,331
1532823952,2018-07-29T00:25:52Z,KNE434,"21.593765,39.029079",11525,342,331
1532823962,2018-07-29T00:26:02Z,KNE434,"21.610428,39.019543",11400,330,331
1532823976,2018-07-29T00:26:16Z,KNE434,"21.626354,39.010468",11300,319,331
1532823986,2018-07-29T00:26:26Z,KNE434,"21.641739,39.001663",11225,311,331
1532824000,2018-07-29T00:26:40Z,KNE434,"21.657078,38.99292",11100,303,332
1532824012,2018-07-29T00:26:52Z,KNE434,"21.671997,38.984436",10900,295,332
1532824024,2018-07-29T00:27:04Z,KNE434,"21.686279,38.976345",10675,290,332
1532824037,2018-07-29T00:27:17Z,KNE434,"21.700562,38.968204",10400,287,332
1532824049,2018-07-29T00:27:29Z,KNE434,"21.715223,38.959858",10050,286,332
