Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532896457,2018-07-29T20:34:17Z,KNE434,"18.444305,42.295204",19025,346,312
1532896519,2018-07-29T20:35:19Z,KNE434,"18.513081,42.216064",21000,356,312
1532896580,2018-07-29T20:36:20Z,KNE434,"18.584564,42.133549",21975,391,312
1532896643,2018-07-29T20:37:23Z,KNE434,"18.662466,42.043579",23450,404,312
1532896705,2018-07-29T20:38:25Z,KNE434,"18.740301,41.953541",25250,404,312
1532896765,2018-07-29T20:39:25Z,KNE434,"18.81958,41.861507",26000,426,312
1532896829,2018-07-29T20:40:29Z,KNE434,"18.902723,41.764626",26000,441,312
1532896891,2018-07-29T20:41:31Z,KNE434,"18.988379,41.665001",26000,434,311
1532896956,2018-07-29T20:42:36Z,KNE434,"19.075653,41.563046",26000,439,311
1532897019,2018-07-29T20:43:39Z,KNE434,"19.163132,41.460735",26000,436,311
1532897081,2018-07-29T20:44:41Z,KNE434,"19.246674,41.362938",25975,436,311
1532897143,2018-07-29T20:45:43Z,KNE434,"19.330723,41.26445",26000,439,312
1532897205,2018-07-29T20:46:45Z,KNE434,"19.414751,41.165672",26000,441,311
1532897266,2018-07-29T20:47:46Z,KNE434,"19.498764,41.06665",26000,438,311
1532897328,2018-07-29T20:48:48Z,KNE434,"19.581711,40.968899",26000,410,311
1532897391,2018-07-29T20:49:51Z,KNE434,"19.660995,40.875469",26000,418,311
1532897452,2018-07-29T20:50:52Z,KNE434,"19.740051,40.781887",26000,423,311
1532897514,2018-07-29T20:51:54Z,KNE434,"19.821245,40.685719",26000,420,311
1532897576,2018-07-29T20:52:56Z,KNE434,"19.901276,40.590805",26000,424,311
1532897637,2018-07-29T20:53:57Z,KNE434,"19.981106,40.495956",26000,424,311
1532897698,2018-07-29T20:54:58Z,KNE434,"20.061768,40.400162",26000,424,311
1532897767,2018-07-29T20:56:07Z,KNE434,"20.152184,40.292358",26000,431,311
1532897787,2018-07-29T20:56:27Z,KNE434,"20.177856,40.261703",26000,430,311
1532897938,2018-07-29T20:58:58Z,KNE434,"20.377171,40.023392",24400,414,311
1532898001,2018-07-29T21:00:01Z,KNE434,"20.456589,39.927994",22600,401,311
1532898065,2018-07-29T21:01:05Z,KNE434,"20.534239,39.834778",20600,393,311
1532898125,2018-07-29T21:02:05Z,KNE434,"20.607372,39.750633",18825,374,322
1532898131,2018-07-29T21:02:11Z,KNE434,"20.615984,39.744492",18675,371,328
1532898138,2018-07-29T21:02:18Z,KNE434,"20.625137,39.738728",18575,367,329
1532898146,2018-07-29T21:02:26Z,KNE434,"20.638046,39.730831",18325,364,330
