Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533069307,2018-07-31T20:35:07Z,KNE434,"18.248657,42.643738",0,21,351
1533069313,2018-07-31T20:35:13Z,KNE434,"18.248875,42.643715",0,20,357
1533069328,2018-07-31T20:35:28Z,KNE434,"18.249372,42.643845",0,18,28
1533069345,2018-07-31T20:35:45Z,KNE434,"18.249735,42.644169",0,17,41
1533069361,2018-07-31T20:36:01Z,KNE434,"18.249676,42.644585",0,15,123
1533069381,2018-07-31T20:36:21Z,KNE434,"18.249161,42.645088",0,36,129
1533069394,2018-07-31T20:36:34Z,KNE434,"18.246347,42.648975",0,105,129
1533069402,2018-07-31T20:36:42Z,KNE434,"18.244427,42.651287",0,125,129
1533069479,2018-07-31T20:37:59Z,KNE434,"18.204803,42.702335",8525,196,129
1533069560,2018-07-31T20:39:20Z,KNE434,"18.132523,42.707085",10025,275,231
1533069572,2018-07-31T20:39:32Z,KNE434,"18.12822,42.68998",10550,275,262
1533069632,2018-07-31T20:40:32Z,KNE434,"18.14035,42.610619",12750,283,284
1533069639,2018-07-31T20:40:39Z,KNE434,"18.145935,42.601269",13050,280,299
1533069700,2018-07-31T20:41:40Z,KNE434,"18.197502,42.538162",15250,289,309
1533069717,2018-07-31T20:41:57Z,KNE434,"18.212585,42.519337",15800,297,309
1533069820,2018-07-31T20:43:40Z,KNE434,"18.31365,42.393593",18825,297,314
1533069849,2018-07-31T20:44:09Z,KNE434,"18.345259,42.354794",19950,299,342
1533069862,2018-07-31T20:44:22Z,KNE434,"18.357876,42.339413",20400,349,310
1533069938,2018-07-31T20:45:38Z,KNE434,"18.44018,42.237389",22675,368,310
1533070000,2018-07-31T20:46:40Z,KNE434,"18.51123,42.149586",23775,397,310
1533070062,2018-07-31T20:47:42Z,KNE434,"18.588226,42.053947",24000,433,310
1533070125,2018-07-31T20:48:45Z,KNE434,"18.66931,41.95319",24000,434,310
1533070185,2018-07-31T20:49:45Z,KNE434,"18.74913,41.85379",24000,435,310
1533070249,2018-07-31T20:50:49Z,KNE434,"18.830706,41.752293",24000,435,310
1533070310,2018-07-31T20:51:50Z,KNE434,"18.910721,41.651817",24000,433,309
1533070373,2018-07-31T20:52:53Z,KNE434,"18.991823,41.550045",24000,437,310
1533070434,2018-07-31T20:53:54Z,KNE434,"19.071442,41.450287",24000,435,309
1533070497,2018-07-31T20:54:57Z,KNE434,"19.152237,41.34832",24000,435,309
1533070559,2018-07-31T20:55:59Z,KNE434,"19.232918,41.247021",24000,435,309
1533070619,2018-07-31T20:56:59Z,KNE434,"19.311493,41.147625",24000,435,309
1533070682,2018-07-31T20:58:02Z,KNE434,"19.390274,41.044136",24000,439,305
1533070743,2018-07-31T20:59:03Z,KNE434,"19.464329,40.936356",24000,434,305
1533070809,2018-07-31T21:00:09Z,KNE434,"19.541466,40.823997",24000,436,305
1533070873,2018-07-31T21:01:13Z,KNE434,"19.61705,40.713715",24000,439,305
1533070934,2018-07-31T21:02:14Z,KNE434,"19.691071,40.60532",24000,436,305
1533071000,2018-07-31T21:03:20Z,KNE434,"19.768982,40.491093",24000,434,305
1533071067,2018-07-31T21:04:27Z,KNE434,"19.847443,40.376129",24000,433,305
1533071118,2018-07-31T21:05:18Z,KNE434,"19.908157,40.286816",24000,432,305
1533071209,2018-07-31T21:06:49Z,KNE434,"20.013365,40.13176",24000,434,305
1533071273,2018-07-31T21:07:53Z,KNE434,"20.089142,40.020103",23975,432,305
1533071332,2018-07-31T21:08:52Z,KNE434,"20.155676,39.921268",23100,401,305
1533071395,2018-07-31T21:09:55Z,KNE434,"20.225225,39.823391",22075,389,311
1533071458,2018-07-31T21:10:58Z,KNE434,"20.311579,39.746487",21075,389,327
1533071520,2018-07-31T21:12:00Z,KNE434,"20.409805,39.696594",20075,380,337
1533071580,2018-07-31T21:13:00Z,KNE434,"20.508867,39.653053",19125,375,337
1533071641,2018-07-31T21:14:01Z,KNE434,"20.606094,39.61047",17650,363,337
1533071675,2018-07-31T21:14:35Z,KNE434,"20.656403,39.588398",17150,343,337
1533071711,2018-07-31T21:15:11Z,KNE434,"20.710253,39.565014",16100,342,337
1533071744,2018-07-31T21:15:44Z,KNE434,"20.757643,39.543991",15425,330,337
1533071774,2018-07-31T21:16:14Z,KNE434,"20.800598,39.525326",14500,334,337
1533071804,2018-07-31T21:16:44Z,KNE434,"20.843857,39.506435",13725,333,337
1533071838,2018-07-31T21:17:18Z,KNE434,"20.891418,39.4855",12900,330,337
1533071871,2018-07-31T21:17:51Z,KNE434,"20.93766,39.46484",12100,325,337
1533071904,2018-07-31T21:18:24Z,KNE434,"20.984446,39.444462",11275,321,337
1533071917,2018-07-31T21:18:37Z,KNE434,"21.001373,39.437092",11000,318,337
1533071951,2018-07-31T21:19:11Z,KNE434,"21.04715,39.416798",10425,307,337
1533071964,2018-07-31T21:19:24Z,KNE434,"21.063864,39.409435",10300,303,337
1533071976,2018-07-31T21:19:36Z,KNE434,"21.07918,39.402874",10175,292,337
1533071988,2018-07-31T21:19:48Z,KNE434,"21.093843,39.39616",10075,279,337
1533072001,2018-07-31T21:20:01Z,KNE434,"21.108719,39.389584",9975,270,337
1533072012,2018-07-31T21:20:12Z,KNE434,"21.122845,39.383495",9850,263,337
1533072025,2018-07-31T21:20:25Z,KNE434,"21.136532,39.377491",9725,255,337
1533072037,2018-07-31T21:20:37Z,KNE434,"21.149706,39.371796",9575,250,337
1533072049,2018-07-31T21:20:49Z,KNE434,"21.162834,39.365948",9300,250,337
1533072062,2018-07-31T21:21:02Z,KNE434,"21.175919,39.360168",9050,249,337
1533072073,2018-07-31T21:21:13Z,KNE434,"21.188919,39.354576",8800,248,337
1533072089,2018-07-31T21:21:29Z,KNE434,"21.20529,39.347431",8500,246,337
1533072101,2018-07-31T21:21:41Z,KNE434,"21.217905,39.341839",8275,244,337
1533072114,2018-07-31T21:21:54Z,KNE434,"21.230667,39.336197",8050,242,337
1533072125,2018-07-31T21:22:05Z,KNE434,"21.243073,39.330505",7800,240,337
1533072138,2018-07-31T21:22:18Z,KNE434,"21.256031,39.324902",7550,239,337
1533072153,2018-07-31T21:22:33Z,KNE434,"21.270834,39.317474",7250,237,327
1533072163,2018-07-31T21:22:43Z,KNE434,"21.279306,39.310505",7075,235,317
1533072171,2018-07-31T21:22:51Z,KNE434,"21.286285,39.303989",6900,235,317
1533072186,2018-07-31T21:23:06Z,KNE434,"21.29858,39.29118",6600,233,320
1533072195,2018-07-31T21:23:15Z,KNE434,"21.306519,39.28516",6425,233,329
1533072201,2018-07-31T21:23:21Z,KNE434,"21.312033,39.282024",6300,231,333
1533072217,2018-07-31T21:23:37Z,KNE434,"21.326614,39.275173",6000,223,338
1533072235,2018-07-31T21:23:55Z,KNE434,"21.344248,39.268238",5775,207,340
1533072248,2018-07-31T21:24:08Z,KNE434,"21.354862,39.264172",5800,186,340
1533072259,2018-07-31T21:24:19Z,KNE434,"21.3647,39.260342",5700,181,338
1533072273,2018-07-31T21:24:33Z,KNE434,"21.374693,39.25639",5575,181,340
1533072284,2018-07-31T21:24:44Z,KNE434,"21.383677,39.252827",5450,180,339
1533072296,2018-07-31T21:24:56Z,KNE434,"21.393593,39.24876",5375,180,339
1533072308,2018-07-31T21:25:08Z,KNE434,"21.40329,39.24506",5250,179,339
1533072321,2018-07-31T21:25:21Z,KNE434,"21.412445,39.241467",5150,172,339
1533072333,2018-07-31T21:25:33Z,KNE434,"21.421371,39.23782",5050,165,338
1533072345,2018-07-31T21:25:45Z,KNE434,"21.430229,39.234364",4875,157,339
1533072351,2018-07-31T21:25:51Z,KNE434,"21.434326,39.232586",4800,154,339
1533072358,2018-07-31T21:25:58Z,KNE434,"21.438656,39.230957",4700,154,340
1533072364,2018-07-31T21:26:04Z,KNE434,"21.442472,39.229481",4600,155,340
1533072370,2018-07-31T21:26:10Z,KNE434,"21.44696,39.227734",4475,155,339
1533072376,2018-07-31T21:26:16Z,KNE434,"21.451035,39.226334",4350,156,339
1533072382,2018-07-31T21:26:22Z,KNE434,"21.455109,39.224686",4250,156,339
1533072394,2018-07-31T21:26:34Z,KNE434,"21.463049,39.221344",4075,153,339
1533072404,2018-07-31T21:26:44Z,KNE434,"21.469437,39.218994",4025,150,339
1533072415,2018-07-31T21:26:55Z,KNE434,"21.477493,39.215748",3925,151,340
1533072422,2018-07-31T21:27:02Z,KNE434,"21.48175,39.214298",3850,152,340
1533072431,2018-07-31T21:27:11Z,KNE434,"21.488297,39.211655",3750,152,339
1533072437,2018-07-31T21:27:17Z,KNE434,"21.491959,39.210255",3675,153,338
1533072444,2018-07-31T21:27:24Z,KNE434,"21.496241,39.208271",3625,154,338
1533072450,2018-07-31T21:27:30Z,KNE434,"21.50029,39.206799",3550,156,339
