Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533153746,2018-08-01T20:02:26Z,KNE434,"18.246847,42.644855",0,31,309
1533153788,2018-08-01T20:03:08Z,KNE434,"18.248569,42.643734",0,23,354
1533153827,2018-08-01T20:03:47Z,KNE434,"18.249802,42.644329",0,17,59
1533153838,2018-08-01T20:03:58Z,KNE434,"18.249664,42.644611",0,17,120
1533153850,2018-08-01T20:04:10Z,KNE434,"18.249409,42.644917",0,26,129
1533153862,2018-08-01T20:04:22Z,KNE434,"18.248291,42.646366",0,58,129
1533153888,2018-08-01T20:04:48Z,KNE434,"18.23933,42.657936",0,160,129
1533154134,2018-08-01T20:08:54Z,KNE434,"18.193588,42.440529",12925,308,269
1533154305,2018-08-01T20:11:45Z,KNE434,"18.356619,42.230545",18400,536,332
1533154330,2018-08-01T20:12:10Z,KNE434,"18.383852,42.199684",19225,341,312
1533154342,2018-08-01T20:12:22Z,KNE434,"18.396149,42.185833",19600,341,312
1533154479,2018-08-01T20:14:39Z,KNE434,"18.556503,42.004314",22150,406,312
1533154541,2018-08-01T20:15:41Z,KNE434,"18.638865,41.910793",23075,430,312
1533154603,2018-08-01T20:16:43Z,KNE434,"18.722845,41.815163",24325,436,312
1533154665,2018-08-01T20:17:45Z,KNE434,"18.809525,41.716587",25625,443,312
1533154726,2018-08-01T20:18:46Z,KNE434,"18.894669,41.619408",26000,442,312
1533154791,2018-08-01T20:19:51Z,KNE434,"18.98526,41.515987",25975,443,312
1533154852,2018-08-01T20:20:52Z,KNE434,"19.072033,41.416759",25975,455,312
1533154914,2018-08-01T20:21:54Z,KNE434,"19.160482,41.315285",25975,457,312
1533154976,2018-08-01T20:22:56Z,KNE434,"19.248978,41.213863",25975,455,312
1533155038,2018-08-01T20:23:58Z,KNE434,"19.337381,41.112289",25975,457,312
1533155103,2018-08-01T20:25:03Z,KNE434,"19.422012,40.998928",25975,456,305
1533155166,2018-08-01T20:26:06Z,KNE434,"19.501419,40.883366",25975,456,305
1533155229,2018-08-01T20:27:09Z,KNE434,"19.579126,40.770065",25975,462,305
1533155292,2018-08-01T20:28:12Z,KNE434,"19.656143,40.657555",25975,446,305
1533155351,2018-08-01T20:29:11Z,KNE434,"19.729568,40.550095",25975,450,305
1533155415,2018-08-01T20:30:15Z,KNE434,"19.806656,40.436947",25975,450,305
1533155476,2018-08-01T20:31:16Z,KNE434,"19.882278,40.325905",25975,452,305
1533155542,2018-08-01T20:32:22Z,KNE434,"19.961472,40.209423",25975,447,305
1533155605,2018-08-01T20:33:25Z,KNE434,"20.038132,40.096104",26000,447,305
1533155669,2018-08-01T20:34:29Z,KNE434,"20.114502,39.983124",25750,438,305
1533155729,2018-08-01T20:35:29Z,KNE434,"20.185934,39.877625",25050,439,305
1533155790,2018-08-01T20:36:30Z,KNE434,"20.259674,39.773106",24050,441,314
1533155796,2018-08-01T20:36:36Z,KNE434,"20.27005,39.763592",23925,440,320
1533155805,2018-08-01T20:36:45Z,KNE434,"20.284882,39.753048",23650,440,327
1533155813,2018-08-01T20:36:53Z,KNE434,"20.300825,39.744938",23375,435,336
