Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533239869,2018-08-02T19:57:49Z,KNE434,"18.248955,42.643734",0,28,2
1533239879,2018-08-02T19:57:59Z,KNE434,"18.249454,42.643932",0,28,36
1533239894,2018-08-02T19:58:14Z,KNE434,"18.24984,42.644405",0,15,84
1533239905,2018-08-02T19:58:25Z,KNE434,"18.249037,42.643734",0,2,129
1533239946,2018-08-02T19:59:06Z,KNE434,"18.248547,42.64603",0,57,129
1533239957,2018-08-02T19:59:17Z,KNE434,"18.246426,42.648754",0,96,129
1533239973,2018-08-02T19:59:33Z,KNE434,"18.240494,42.656429",0,155,129
1533240111,2018-08-02T20:01:51Z,KNE434,"18.143738,42.730167",9450,258,216
1533240128,2018-08-02T20:02:08Z,KNE434,"18.133484,42.712292",10025,257,253
1533240220,2018-08-02T20:03:40Z,KNE434,"18.201553,42.616947",12650,304,312
1533240251,2018-08-02T20:04:11Z,KNE434,"18.232697,42.580811",13150,334,311
1533240262,2018-08-02T20:04:22Z,KNE434,"18.242659,42.569126",13300,262,284
1533240431,2018-08-02T20:07:11Z,KNE434,"18.43364,42.345478",19125,373,311
1533240493,2018-08-02T20:08:13Z,KNE434,"18.505829,42.260872",20800,364,313
1533240499,2018-08-02T20:08:19Z,KNE434,"18.514151,42.251122",21050,384,312
1533240605,2018-08-02T20:10:05Z,KNE434,"18.643938,42.099159",23400,408,311
1533240667,2018-08-02T20:11:07Z,KNE434,"18.722425,42.007023",24000,432,311
1533240728,2018-08-02T20:12:08Z,KNE434,"18.806267,41.908199",24000,436,311
1533240791,2018-08-02T20:13:11Z,KNE434,"18.892015,41.807125",24000,442,311
1533240852,2018-08-02T20:14:12Z,KNE434,"18.977066,41.70665",24000,446,311
1533240914,2018-08-02T20:15:14Z,KNE434,"19.05954,41.608852",24000,442,311
1533240978,2018-08-02T20:16:18Z,KNE434,"19.154892,41.514931",24000,440,318
1533241038,2018-08-02T20:17:18Z,KNE434,"19.249723,41.427895",24000,443,318
1533241099,2018-08-02T20:18:19Z,KNE434,"19.34404,41.341602",24000,442,318
1533241165,2018-08-02T20:19:25Z,KNE434,"19.445755,41.248219",24000,442,318
1533241225,2018-08-02T20:20:25Z,KNE434,"19.538818,41.162632",24000,438,318
1533241287,2018-08-02T20:21:27Z,KNE434,"19.633965,41.075035",24000,438,318
1533241352,2018-08-02T20:22:32Z,KNE434,"19.733597,40.983074",24000,435,318
1533241414,2018-08-02T20:23:34Z,KNE434,"19.824738,40.897194",24000,437,313
1533241423,2018-08-02T20:23:43Z,KNE434,"19.837677,40.881126",24000,438,308
1533241432,2018-08-02T20:23:52Z,KNE434,"19.848104,40.866245",24000,439,306
1533241497,2018-08-02T20:24:57Z,KNE434,"19.927551,40.753246",24000,440,306
1533241558,2018-08-02T20:25:58Z,KNE434,"20.001495,40.648964",24000,442,306
1533241620,2018-08-02T20:27:00Z,KNE434,"20.078156,40.540581",24000,440,306
1533241680,2018-08-02T20:28:00Z,KNE434,"20.152697,40.435131",24000,441,306
1533241698,2018-08-02T20:28:18Z,KNE434,"20.17424,40.404526",24000,441,306
1533241805,2018-08-02T20:30:05Z,KNE434,"20.304611,40.21928",24000,443,306
1533241866,2018-08-02T20:31:06Z,KNE434,"20.378242,40.114231",23325,433,306
1533241928,2018-08-02T20:32:08Z,KNE434,"20.453192,40.007114",22300,434,306
1533241988,2018-08-02T20:33:08Z,KNE434,"20.524887,39.904697",21300,428,306
1533242054,2018-08-02T20:34:14Z,KNE434,"20.603577,39.792088",20050,418,306
1533242116,2018-08-02T20:35:16Z,KNE434,"20.672638,39.693054",17875,406,306
1533242145,2018-08-02T20:35:45Z,KNE434,"20.706802,39.643871",16825,399,306
1533242177,2018-08-02T20:36:17Z,KNE434,"20.739349,39.597031",15775,392,306
1533242209,2018-08-02T20:36:49Z,KNE434,"20.774689,39.546169",14750,382,306
1533242243,2018-08-02T20:37:23Z,KNE434,"20.810211,39.495163",14275,353,306
1533242283,2018-08-02T20:38:03Z,KNE434,"20.847023,39.443165",13575,332,307
1533242316,2018-08-02T20:38:36Z,KNE434,"20.877468,39.401119",13175,310,307
1533242352,2018-08-02T20:39:12Z,KNE434,"20.907448,39.359219",12400,301,307
1533242385,2018-08-02T20:39:45Z,KNE434,"20.935799,39.319717",11825,287,307
1533242396,2018-08-02T20:39:56Z,KNE434,"20.945206,39.306629",11725,278,307
1533242409,2018-08-02T20:40:09Z,KNE434,"20.954931,39.293201",11625,268,307
1533242421,2018-08-02T20:40:21Z,KNE434,"20.963745,39.281029",11550,259,307
1533242433,2018-08-02T20:40:33Z,KNE434,"20.972168,39.269501",11425,252,307
1533242445,2018-08-02T20:40:45Z,KNE434,"20.981049,39.257389",11225,248,307
1533242456,2018-08-02T20:40:56Z,KNE434,"20.988831,39.246597",11100,243,307
1533242470,2018-08-02T20:41:10Z,KNE434,"20.997759,39.234325",10875,241,307
1533242481,2018-08-02T20:41:21Z,KNE434,"21.006138,39.222691",10675,238,307
1533242494,2018-08-02T20:41:34Z,KNE434,"21.013912,39.211853",10450,236,307
1533242506,2018-08-02T20:41:46Z,KNE434,"21.021973,39.200542",10225,234,307
1533242519,2018-08-02T20:41:59Z,KNE434,"21.029694,39.189655",10025,232,307
1533242529,2018-08-02T20:42:09Z,KNE434,"21.037607,39.178516",9875,225,307
1533242543,2018-08-02T20:42:23Z,KNE434,"21.045149,39.167835",9600,225,307
1533242553,2018-08-02T20:42:33Z,KNE434,"21.052826,39.156872",9325,225,306
1533242570,2018-08-02T20:42:50Z,KNE434,"21.063444,39.145966",9025,225,327
1533242577,2018-08-02T20:42:57Z,KNE434,"21.070175,39.142887",8900,226,340
1533242584,2018-08-02T20:43:04Z,KNE434,"21.079468,39.140194",8750,224,346
1533242591,2018-08-02T20:43:11Z,KNE434,"21.084951,39.138897",8675,223,347
1533242603,2018-08-02T20:43:23Z,KNE434,"21.097427,39.136097",8450,220,348
1533242615,2018-08-02T20:43:35Z,KNE434,"21.109177,39.133652",8225,217,349
1533242627,2018-08-02T20:43:47Z,KNE434,"21.12149,39.131302",8000,217,350
1533242633,2018-08-02T20:43:53Z,KNE434,"21.128244,39.130909",7825,223,2
1533242640,2018-08-02T20:44:00Z,KNE434,"21.133226,39.131725",7675,228,12
1533242648,2018-08-02T20:44:08Z,KNE434,"21.142769,39.13625",7450,239,31
1533242657,2018-08-02T20:44:17Z,KNE434,"21.150591,39.144287",7350,248,52
1533242664,2018-08-02T20:44:24Z,KNE434,"21.15358,39.149632",7325,254,62
1533242671,2018-08-02T20:44:31Z,KNE434,"21.157013,39.160915",7300,266,78
1533242677,2018-08-02T20:44:37Z,KNE434,"21.157526,39.169464",7300,274,91
1533242684,2018-08-02T20:44:44Z,KNE434,"21.156784,39.176796",7300,277,99
1533242692,2018-08-02T20:44:52Z,KNE434,"21.1539,39.189083",7300,277,105
1533242699,2018-08-02T20:44:59Z,KNE434,"21.151615,39.197491",7275,275,106
1533242705,2018-08-02T20:45:05Z,KNE434,"21.149277,39.205509",7225,273,107
1533242713,2018-08-02T20:45:13Z,KNE434,"21.147171,39.212704",7175,270,107
1533242723,2018-08-02T20:45:23Z,KNE434,"21.142536,39.228466",7075,261,107
1533242736,2018-08-02T20:45:36Z,KNE434,"21.138428,39.242313",7000,253,107
1533242747,2018-08-02T20:45:47Z,KNE434,"21.134018,39.25705",6900,244,107
1533242758,2018-08-02T20:45:58Z,KNE434,"21.130154,39.269764",6825,237,107
1533242769,2018-08-02T20:46:09Z,KNE434,"21.127872,39.280499",6700,227,95
1533242793,2018-08-02T20:46:33Z,KNE434,"21.135553,39.302979",6275,190,42
1533242801,2018-08-02T20:46:41Z,KNE434,"21.142273,39.307682",6125,180,29
1533242810,2018-08-02T20:46:50Z,KNE434,"21.148542,39.310863",6050,177,23
1533242816,2018-08-02T20:46:56Z,KNE434,"21.153076,39.312927",6000,178,23
1533242822,2018-08-02T20:47:02Z,KNE434,"21.158432,39.315323",5950,177,22
1533242837,2018-08-02T20:47:17Z,KNE434,"21.169537,39.320271",5800,176,22
1533242850,2018-08-02T20:47:30Z,KNE434,"21.178289,39.324139",5700,175,22
1533242858,2018-08-02T20:47:38Z,KNE434,"21.185598,39.326679",5650,168,10
1533242881,2018-08-02T20:48:01Z,KNE434,"21.200821,39.323963",5475,157,341
1533242888,2018-08-02T20:48:08Z,KNE434,"21.207058,39.321796",5400,156,341
1533242902,2018-08-02T20:48:22Z,KNE434,"21.217072,39.31802",5275,156,341
1533242917,2018-08-02T20:48:37Z,KNE434,"21.226097,39.314678",5175,156,340
1533242927,2018-08-02T20:48:47Z,KNE434,"21.233871,39.311626",5075,156,339
1533242939,2018-08-02T20:48:59Z,KNE434,"21.242294,39.308231",4975,156,339
1533242946,2018-08-02T20:49:06Z,KNE434,"21.245865,39.306835",4925,157,339
1533242953,2018-08-02T20:49:13Z,KNE434,"21.250168,39.305187",4875,158,340
1533242963,2018-08-02T20:49:23Z,KNE434,"21.258957,39.301792",4775,159,339
1533242972,2018-08-02T20:49:32Z,KNE434,"21.262735,39.300282",4725,160,339
1533242983,2018-08-02T20:49:43Z,KNE434,"21.271271,39.296898",4600,161,339
1533242994,2018-08-02T20:49:54Z,KNE434,"21.279539,39.293518",4500,161,339
1533243000,2018-08-02T20:50:00Z,KNE434,"21.284042,39.291752",4450,161,340
1533243007,2018-08-02T20:50:07Z,KNE434,"21.288525,39.290058",4400,161,340
1533243014,2018-08-02T20:50:14Z,KNE434,"21.292923,39.288357",4350,161,340
1533243023,2018-08-02T20:50:23Z,KNE434,"21.298691,39.28611",4275,161,339
1533243033,2018-08-02T20:50:33Z,KNE434,"21.307564,39.282635",4175,161,340
1533243039,2018-08-02T20:50:39Z,KNE434,"21.312103,39.280968",4125,161,341
1533243045,2018-08-02T20:50:45Z,KNE434,"21.315628,39.279667",4075,161,341
1533243052,2018-08-02T20:50:52Z,KNE434,"21.320343,39.27792",4025,162,340
1533243058,2018-08-02T20:50:58Z,KNE434,"21.324738,39.276272",3975,162,340
1533243069,2018-08-02T20:51:09Z,KNE434,"21.332748,39.273022",3875,162,339
1533243077,2018-08-02T20:51:17Z,KNE434,"21.337126,39.27124",3825,162,339
1533243089,2018-08-02T20:51:29Z,KNE434,"21.345877,39.267731",3725,162,339
1533243095,2018-08-02T20:51:35Z,KNE434,"21.349869,39.266136",3675,162,339
1533243105,2018-08-02T20:51:45Z,KNE434,"21.358818,39.262543",3575,164,339
1533243115,2018-08-02T20:51:55Z,KNE434,"21.364964,39.260151",3500,165,339
1533243124,2018-08-02T20:52:04Z,KNE434,"21.37175,39.257496",3425,165,339
1533243136,2018-08-02T20:52:16Z,KNE434,"21.380791,39.253845",3300,165,339
1533243148,2018-08-02T20:52:28Z,KNE434,"21.38917,39.250439",3200,167,338
1533243163,2018-08-02T20:52:43Z,KNE434,"21.399445,39.246311",3100,167,340
1533243186,2018-08-02T20:53:06Z,KNE434,"21.41716,39.23967",3000,168,341
1533243195,2018-08-02T20:53:15Z,KNE434,"21.422058,39.23782",2975,169,340
1533243202,2018-08-02T20:53:22Z,KNE434,"21.42902,39.235077",2950,169,339
1533243208,2018-08-02T20:53:28Z,KNE434,"21.433914,39.233128",2925,170,339
1533243215,2018-08-02T20:53:35Z,KNE434,"21.43791,39.231518",2925,170,339
1533243222,2018-08-02T20:53:42Z,KNE434,"21.442383,39.229733",2900,171,339
1533243232,2018-08-02T20:53:52Z,KNE434,"21.451876,39.225769",2850,171,338
1533243240,2018-08-02T20:54:00Z,KNE434,"21.45574,39.22414",2825,171,338
1533243254,2018-08-02T20:54:14Z,KNE434,"21.467422,39.219643",2800,171,340
1533243260,2018-08-02T20:54:20Z,KNE434,"21.471428,39.218037",2800,171,340
1533243271,2018-08-02T20:54:31Z,KNE434,"21.480879,39.214428",2800,172,340
1533243278,2018-08-02T20:54:38Z,KNE434,"21.48558,39.212696",2800,171,340
1533243290,2018-08-02T20:54:50Z,KNE434,"21.494431,39.209255",2800,171,339
1533243297,2018-08-02T20:54:57Z,KNE434,"21.498459,39.207657",2800,172,339
1533243307,2018-08-02T20:55:07Z,KNE434,"21.507294,39.204113",2800,171,339
1533243313,2018-08-02T20:55:13Z,KNE434,"21.512068,39.202221",2800,171,339
1533243320,2018-08-02T20:55:20Z,KNE434,"21.516998,39.200218",2800,171,338
1533243327,2018-08-02T20:55:27Z,KNE434,"21.521622,39.198318",2800,172,339
1533243337,2018-08-02T20:55:37Z,KNE434,"21.530037,39.195099",2800,172,340
1533243344,2018-08-02T20:55:44Z,KNE434,"21.535112,39.193115",2800,172,339
