Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533414808,2018-08-04T20:33:28Z,KNE434,"18.249792,42.644367",0,22,90
1533414817,2018-08-04T20:33:37Z,KNE434,"18.249641,42.64463",0,20,135
1533414827,2018-08-04T20:33:47Z,KNE434,"18.249386,42.644943",0,23,129
1533414840,2018-08-04T20:34:00Z,KNE434,"18.248085,42.646633",0,61,129
1533414846,2018-08-04T20:34:06Z,KNE434,"18.246546,42.648552",0,90,132
1533414855,2018-08-04T20:34:15Z,KNE434,"18.243763,42.652222",0,125,129
1533414870,2018-08-04T20:34:30Z,KNE434,"18.238071,42.659546",0,0,129
1533414965,2018-08-04T20:36:05Z,KNE434,"18.177019,42.705967",9350,198,205
1533415034,2018-08-04T20:37:14Z,KNE434,"18.164682,42.64201",10575,306,316
1533415136,2018-08-04T20:38:56Z,KNE434,"18.164824,42.505611",12875,302,270
1533415146,2018-08-04T20:39:06Z,KNE434,"18.164886,42.49054",13250,304,270
1533415291,2018-08-04T20:41:31Z,KNE434,"18.288698,42.308449",17850,339,312
1533415325,2018-08-04T20:42:05Z,KNE434,"18.324265,42.26825",19000,345,312
1533415343,2018-08-04T20:42:23Z,KNE434,"18.34321,42.246777",19600,257,279
1533415592,2018-08-04T20:46:32Z,KNE434,"18.646637,41.902885",24000,445,312
1533415654,2018-08-04T20:47:34Z,KNE434,"18.736578,41.800583",23975,470,312
1533415719,2018-08-04T20:48:39Z,KNE434,"18.827866,41.696354",24000,467,312
1533415779,2018-08-04T20:49:39Z,KNE434,"18.919281,41.591934",24000,468,312
1533415842,2018-08-04T20:50:42Z,KNE434,"19.010101,41.488102",24000,466,312
1533415909,2018-08-04T20:51:49Z,KNE434,"19.108856,41.374962",23975,470,312
1533415970,2018-08-04T20:52:50Z,KNE434,"19.197739,41.272938",23950,472,312
1533416032,2018-08-04T20:53:52Z,KNE434,"19.292364,41.164124",23950,472,312
1533416096,2018-08-04T20:54:56Z,KNE434,"19.383408,41.054878",23975,475,307
1533416154,2018-08-04T20:55:54Z,KNE434,"19.459854,40.943935",23975,474,305
1533416220,2018-08-04T20:57:00Z,KNE434,"19.54384,40.821651",23975,476,305
1533416282,2018-08-04T20:58:02Z,KNE434,"19.624741,40.70351",23975,475,305
1533416344,2018-08-04T20:59:04Z,KNE434,"19.706085,40.584625",23975,475,305
1533416406,2018-08-04T21:00:06Z,KNE434,"19.787447,40.465343",23975,477,305
1533416469,2018-08-04T21:01:09Z,KNE434,"19.86795,40.347095",23975,476,305
1533416508,2018-08-04T21:01:48Z,KNE434,"19.917887,40.273682",23950,476,305
1533416613,2018-08-04T21:03:33Z,KNE434,"20.05188,40.076015",23975,473,305
1533416624,2018-08-04T21:03:44Z,KNE434,"20.067307,40.053257",23975,473,305
1533416716,2018-08-04T21:05:16Z,KNE434,"20.183716,39.880615",23075,471,305
1533416786,2018-08-04T21:06:26Z,KNE434,"20.281174,39.756138",21875,461,326
1533416805,2018-08-04T21:06:45Z,KNE434,"20.316055,39.738823",21600,454,337
1533416817,2018-08-04T21:06:57Z,KNE434,"20.338989,39.728672",21425,453,337
1533416869,2018-08-04T21:07:49Z,KNE434,"20.44132,39.683517",20450,451,337
1533416959,2018-08-04T21:09:19Z,KNE434,"20.609327,39.609859",17575,427,337
1533416989,2018-08-04T21:09:49Z,KNE434,"20.6651,39.585308",16625,429,337
1533417022,2018-08-04T21:10:22Z,KNE434,"20.725662,39.558678",15725,414,337
1533417055,2018-08-04T21:10:55Z,KNE434,"20.782036,39.534",15175,385,337
1533417086,2018-08-04T21:11:26Z,KNE434,"20.830627,39.512722",14775,363,337
1533417119,2018-08-04T21:11:59Z,KNE434,"20.880066,39.490993",14350,338,337
1533417137,2018-08-04T21:12:17Z,KNE434,"20.904922,39.476818",14150,325,326
1533417143,2018-08-04T21:12:23Z,KNE434,"20.912064,39.471031",14100,320,321
1533417149,2018-08-04T21:12:29Z,KNE434,"20.918854,39.465286",14025,316,321
1533417159,2018-08-04T21:12:39Z,KNE434,"20.929321,39.456367",13900,310,321
1533417192,2018-08-04T21:13:12Z,KNE434,"20.965498,39.425137",13300,297,320
1533417221,2018-08-04T21:13:41Z,KNE434,"20.997387,39.397472",12625,290,321
1533417259,2018-08-04T21:14:19Z,KNE434,"21.035187,39.364777",11750,285,320
1533417270,2018-08-04T21:14:30Z,KNE434,"21.047617,39.353992",11475,282,320
1533417282,2018-08-04T21:14:42Z,KNE434,"21.059954,39.343311",11150,280,320
1533417294,2018-08-04T21:14:54Z,KNE434,"21.071125,39.333649",10825,281,320
1533417306,2018-08-04T21:15:06Z,KNE434,"21.083588,39.322765",10450,282,320
1533417321,2018-08-04T21:15:21Z,KNE434,"21.099569,39.308826",9975,282,320
1533417330,2018-08-04T21:15:30Z,KNE434,"21.108973,39.30064",9700,283,320
1533417370,2018-08-04T21:16:10Z,KNE434,"21.149597,39.265285",8600,282,320
1533417384,2018-08-04T21:16:24Z,KNE434,"21.162228,39.254303",8300,281,320
1533417395,2018-08-04T21:16:35Z,KNE434,"21.174271,39.243813",8200,282,320
1533417408,2018-08-04T21:16:48Z,KNE434,"21.186996,39.232727",8150,285,320
1533417419,2018-08-04T21:16:59Z,KNE434,"21.199377,39.222004",8150,281,320
1533417431,2018-08-04T21:17:11Z,KNE434,"21.211388,39.211578",8175,268,320
1533417443,2018-08-04T21:17:23Z,KNE434,"21.22242,39.201965",8200,258,320
1533417455,2018-08-04T21:17:35Z,KNE434,"21.233919,39.191895",8200,251,320
1533417468,2018-08-04T21:17:48Z,KNE434,"21.244766,39.182438",8200,248,320
1533417487,2018-08-04T21:18:07Z,KNE434,"21.260834,39.168358",8150,246,320
1533417499,2018-08-04T21:18:19Z,KNE434,"21.271441,39.159088",8050,243,320
