Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1533502130,2018-08-05T20:48:50Z,KNE434,"18.249573,42.644722",0,11,129
1533502137,2018-08-05T20:48:57Z,KNE434,"18.249344,42.645016",0,23,129
1533502170,2018-08-05T20:49:30Z,KNE434,"18.240005,42.657082",0,160,129
1533502278,2018-08-05T20:51:18Z,KNE434,"18.168175,42.681149",8750,233,249
1533502316,2018-08-05T20:51:56Z,KNE434,"18.187454,42.641029",9225,269,310
1533502416,2018-08-05T20:53:36Z,KNE434,"18.281389,42.530075",12700,451,326
1533502426,2018-08-05T20:53:46Z,KNE434,"18.289856,42.518707",13050,451,326
1533502590,2018-08-05T20:56:30Z,KNE434,"18.447464,42.30933",18825,282,282
1533502610,2018-08-05T20:56:50Z,KNE434,"18.467789,42.282452",19300,311,244
1533502674,2018-08-05T20:57:54Z,KNE434,"18.536453,42.19157",20875,385,308
1533502734,2018-08-05T20:58:54Z,KNE434,"18.605484,42.100002",22275,402,308
1533502797,2018-08-05T20:59:57Z,KNE434,"18.681879,41.998386",22900,437,308
1533502860,2018-08-05T21:01:00Z,KNE434,"18.759388,41.894913",24000,428,308
1533502923,2018-08-05T21:02:03Z,KNE434,"18.836386,41.791893",23975,429,308
1533502984,2018-08-05T21:03:04Z,KNE434,"18.913336,41.688969",24250,438,308
1533503048,2018-08-05T21:04:08Z,KNE434,"18.99408,41.58075",25650,445,308
1533503110,2018-08-05T21:05:10Z,KNE434,"19.073616,41.473938",25975,442,308
1533503173,2018-08-05T21:06:13Z,KNE434,"19.151321,41.369411",25975,441,308
1533503235,2018-08-05T21:07:15Z,KNE434,"19.23045,41.262852",26025,445,308
1533503298,2018-08-05T21:08:18Z,KNE434,"19.309937,41.155571",26025,445,307
1533503363,2018-08-05T21:09:23Z,KNE434,"19.3927,41.043106",25975,444,306
1533503425,2018-08-05T21:10:25Z,KNE434,"19.467636,40.932606",25950,445,305
1533503488,2018-08-05T21:11:28Z,KNE434,"19.544724,40.820095",25950,445,305
1533503551,2018-08-05T21:12:31Z,KNE434,"19.62093,40.708839",25975,445,305
1533503615,2018-08-05T21:13:35Z,KNE434,"19.697882,40.596329",25975,446,305
1533503679,2018-08-05T21:14:39Z,KNE434,"19.77388,40.484962",25975,446,305
1533503742,2018-08-05T21:15:42Z,KNE434,"19.848999,40.374561",25975,446,305
1533503804,2018-08-05T21:16:44Z,KNE434,"19.9254,40.262146",25975,447,305
1533503864,2018-08-05T21:17:44Z,KNE434,"19.998779,40.1539",25975,447,305
