Timestamp,UTC,Callsign,Position
1531252473,2018-07-10T19:54:33Z,KNE434,"18.244183,42.645168"
1531252577,2018-07-10T19:56:17Z,KNE434,"18.245258,42.64608"
1531252608,2018-07-10T19:56:48Z,KNE434,"18.246769,42.644955"
1531252615,2018-07-10T19:56:55Z,KNE434,"18.247,42.644657"
1531252647,2018-07-10T19:57:27Z,KNE434,"18.248394,42.643776"
1531252656,2018-07-10T19:57:36Z,KNE434,"18.248989,42.643753"
1531252662,2018-07-10T19:57:42Z,KNE434,"18.249332,42.64386"
1531252675,2018-07-10T19:57:55Z,KNE434,"18.249744,42.644424"
1531252682,2018-07-10T19:58:02Z,KNE434,"18.24947,42.644844"
1531252688,2018-07-10T19:58:08Z,KNE434,"18.249229,42.645138"
1531252694,2018-07-10T19:58:14Z,KNE434,"18.248417,42.646179"
1531252704,2018-07-10T19:58:24Z,KNE434,"18.246208,42.649036"
1531252717,2018-07-10T19:58:37Z,KNE434,"18.240936,42.655853"
1531252742,2018-07-10T19:59:02Z,KNE434,"18.227669,42.673046"
1531252754,2018-07-10T19:59:14Z,KNE434,"18.220779,42.681934"
1531252764,2018-07-10T19:59:24Z,KNE434,"18.21603,42.689377"
1531252772,2018-07-10T19:59:32Z,KNE434,"18.214262,42.695469"
1531252793,2018-07-10T19:59:53Z,KNE434,"18.219955,42.713814"
1531252799,2018-07-10T19:59:59Z,KNE434,"18.224442,42.71764"
1531252807,2018-07-10T20:00:07Z,KNE434,"18.228928,42.720093"
1531252814,2018-07-10T20:00:14Z,KNE434,"18.235954,42.721634"
1531252835,2018-07-10T20:00:35Z,KNE434,"18.252806,42.712147"
1531252843,2018-07-10T20:00:43Z,KNE434,"18.256027,42.707684"
1531252856,2018-07-10T20:00:56Z,KNE434,"18.263002,42.697216"
1531252868,2018-07-10T20:01:08Z,KNE434,"18.270218,42.686378"
1531252880,2018-07-10T20:01:20Z,KNE434,"18.277725,42.675117"
1531252892,2018-07-10T20:01:32Z,KNE434,"18.286091,42.662857"
1531252907,2018-07-10T20:01:47Z,KNE434,"18.295076,42.650074"
1531252917,2018-07-10T20:01:57Z,KNE434,"18.304504,42.636761"
1531252929,2018-07-10T20:02:09Z,KNE434,"18.314896,42.622147"
1531252942,2018-07-10T20:02:22Z,KNE434,"18.325378,42.607285"
1531252955,2018-07-10T20:02:35Z,KNE434,"18.336273,42.59169"
1531252967,2018-07-10T20:02:47Z,KNE434,"18.34758,42.575405"
1531252981,2018-07-10T20:03:01Z,KNE434,"18.359457,42.558239"
1531253011,2018-07-10T20:03:31Z,KNE434,"18.390276,42.513695"
1531253042,2018-07-10T20:04:02Z,KNE434,"18.422628,42.466904"
1531253073,2018-07-10T20:04:33Z,KNE434,"18.45639,42.418018"
1531253115,2018-07-10T20:05:15Z,KNE434,"18.504049,42.3489"
1531253148,2018-07-10T20:05:48Z,KNE434,"18.54213,42.293568"
1531253181,2018-07-10T20:06:21Z,KNE434,"18.577648,42.242184"
1531253211,2018-07-10T20:06:51Z,KNE434,"18.611755,42.192551"
1531253273,2018-07-10T20:07:53Z,KNE434,"18.680529,42.092468"
1531253336,2018-07-10T20:08:56Z,KNE434,"18.753204,41.986755"
1531253399,2018-07-10T20:09:59Z,KNE434,"18.825073,41.881882"
1531253464,2018-07-10T20:11:04Z,KNE434,"18.904358,41.765362"
1531253527,2018-07-10T20:12:07Z,KNE434,"18.984329,41.647453"
1531253588,2018-07-10T20:13:08Z,KNE434,"19.064667,41.528957"
1531253649,2018-07-10T20:14:09Z,KNE434,"19.147076,41.407169"
1531253706,2018-07-10T20:15:06Z,KNE434,"19.225422,41.290916"
1531253804,2018-07-10T20:16:44Z,KNE434,"19.356125,41.096664"
1531253867,2018-07-10T20:17:47Z,KNE434,"19.441956,40.970959"
1531253912,2018-07-10T20:18:32Z,KNE434,"19.511347,40.889515"
1531254003,2018-07-10T20:20:03Z,KNE434,"19.65802,40.735001"
1531254067,2018-07-10T20:21:07Z,KNE434,"19.760494,40.626694"
1531254127,2018-07-10T20:22:07Z,KNE434,"19.858154,40.523609"
1531254191,2018-07-10T20:23:11Z,KNE434,"19.96118,40.414307"
1531254250,2018-07-10T20:24:10Z,KNE434,"20.058428,40.311085"
1531254319,2018-07-10T20:25:19Z,KNE434,"20.170624,40.191666"
1531254383,2018-07-10T20:26:23Z,KNE434,"20.273666,40.082001"
1531254453,2018-07-10T20:27:33Z,KNE434,"20.376709,39.971695"
1531254513,2018-07-10T20:28:33Z,KNE434,"20.467484,39.87949"
1531254519,2018-07-10T20:28:39Z,KNE434,"20.478378,39.872032"
1531254525,2018-07-10T20:28:45Z,KNE434,"20.489456,39.865021"
1531254588,2018-07-10T20:29:48Z,KNE434,"20.603695,39.79343"
1531254658,2018-07-10T20:30:58Z,KNE434,"20.714256,39.722816"
1531254694,2018-07-10T20:31:34Z,KNE434,"20.767273,39.68924"
1531254734,2018-07-10T20:32:14Z,KNE434,"20.822937,39.653927"
1531254763,2018-07-10T20:32:43Z,KNE434,"20.865143,39.627243"
1531254797,2018-07-10T20:33:17Z,KNE434,"20.914104,39.596226"
1531254831,2018-07-10T20:33:51Z,KNE434,"20.961262,39.566063"
1531254861,2018-07-10T20:34:21Z,KNE434,"20.998877,39.541893"
1531254875,2018-07-10T20:34:35Z,KNE434,"21.016659,39.530506"
1531254893,2018-07-10T20:34:53Z,KNE434,"21.036942,39.517574"
1531254909,2018-07-10T20:35:09Z,KNE434,"21.05353,39.506939"
